year,catch
1982,4035
1983,8020
1984,29478
1985,26750
1986,24648
1987,11634
1988,23671
1989,33265
1990,18762
1991,12000
1992,15043
1993,13617
1994,5689
1995,16756
1996,18843
1997,19540
1998,30500
1999,37224
2000,45133
2001,28331
2002,27264
2003,32028
2004,35435
2005,30911
2006,34318
2007,41242
2008,35704
2009,46919
2010,24151
2011,27619
2012,21378
2013,18645
2014,13388
2015,12002
2016,15341
2017,14579
2018,14773
2019,11802.79
