"","Landings","Discards","BMS landing","Logbook Registered Discard"
"27.4.c",1111.63526,NA,0,0
"27.7.d",7827.46797,171.67514,1.656,0
"27.3.a.nshm",0.545,0.642,0,0
"27.4.a.nshm",2570.782,4.907,0,0
"27.4.b",105.58141,7.898,0,0
