File created:26/08/2024 13:52:44
WG assessment year:2024
Data year:2023
Stock:whb.27.1-91214,Stock description:Blue whiting (Micromesistius poutassou) in Subareas 1-9, 12, and 14 (Northeast Atlantic and adjacent waters)
Allocation scheme:Alloc2023

LIST OF UNSAMPLED STRATA AND THEIR ALLOCATED SAMPLED STRATA.

YOU CAN USE THIS FILE TO HAVE A MATRIX OVERVIEW OF WHAT SAMPLED STRATA HAVE BEEN ALLOCATED TO WHICH UNSAMPLED STRATA

There are 4 files:
        - 2 specifying what is allocated to the unsampled LANDINGS
            - 1 sorted by Fleet before season 
            - 1 sorted by season before Fleet 
        - 2 specifying what is allocated to the unsampled DISCARDS
            - 1 sorted by Fleet before season
            - 1 sorted by season  before Fleet 

The patterns which visually can be seen in the allocations depend the sorting of the element (season or fleet) in the strata, depending on if the allocations have been primarily done according to season or fleet.


   Explanation on how to use the output, for visual inspection:
     1. Copy all the data into a spreadsheet.
     2. Create a pivot table with the Unsampled as rows and the Sampled as columns.
     3. Copy the pivot table but only with the header row and markers, out the sum row and column and column label.
     4. Paste only values.\n
     5. Select the Sampled row and format cell and select tab Alignment and align the text horizontal and adjust the column width.
          

Unsampled Landings strata,Allocated sampled strata,Marker
ES_27.8.b_4_GNS_DEF_60-79_0_0_L,ES_27.8.b_4_OTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_GNS_DEF_60-79_0_0_L,ES_27.8.b_4_PTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_GTR_DEF_60-79_0_0_L,ES_27.8.b_4_OTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_GTR_DEF_60-79_0_0_L,ES_27.8.b_4_PTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_LLS_DEF_0_0_0_L,ES_27.8.b_4_OTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_LLS_DEF_0_0_0_L,ES_27.8.b_4_PTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_OTB_DEF_>=70_0_0_L,ES_27.8.b_4_OTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_OTB_DEF_>=70_0_0_L,ES_27.8.b_4_PTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_PTB_DEF_>=70_0_0_L,ES_27.8.b_4_OTB_DEF_>=70_0_0_D,X
ES_27.8.b_4_PTB_DEF_>=70_0_0_L,ES_27.8.b_4_PTB_DEF_>=70_0_0_D,X
ES_27.8.c_1_GNS_DEF_60-79_0_0_L,ES_27.8.c_1_LLS_DEF_0_0_0_L,X
ES_27.8.c_1_GNS_DEF_60-79_0_0_L,ES_27.8.c_1_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_1_GNS_DEF_60-79_0_0_L,ES_27.8.c_1_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_1_GNS_DEF_80-99_0_0_L,ES_27.8.c_1_LLS_DEF_0_0_0_L,X
ES_27.8.c_1_GNS_DEF_80-99_0_0_L,ES_27.8.c_1_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_1_GNS_DEF_80-99_0_0_L,ES_27.8.c_1_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_1_OTB_MPD_>=55_0_0_L,ES_27.8.c_1_LLS_DEF_0_0_0_L,X
ES_27.8.c_1_OTB_MPD_>=55_0_0_L,ES_27.8.c_1_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_1_OTB_MPD_>=55_0_0_L,ES_27.8.c_1_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_1_PS_SPF_0_0_0_L,ES_27.8.c_1_LLS_DEF_0_0_0_L,X
ES_27.8.c_1_PS_SPF_0_0_0_L,ES_27.8.c_1_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_1_PS_SPF_0_0_0_L,ES_27.8.c_1_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_2_LHM_DEF_0_0_0_L,ES_27.8.c_2_GNS_DEF_60-79_0_0_L,X
ES_27.8.c_2_LHM_DEF_0_0_0_L,ES_27.8.c_2_GNS_DEF_80-99_0_0_L,X
ES_27.8.c_2_LHM_DEF_0_0_0_L,ES_27.8.c_2_LLS_DEF_0_0_0_L,X
ES_27.8.c_2_LHM_DEF_0_0_0_L,ES_27.8.c_2_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_2_LHM_DEF_0_0_0_L,ES_27.8.c_2_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_2_MIS_MIS_0_0_0_HC_L,ES_27.8.c_2_GNS_DEF_60-79_0_0_L,X
ES_27.8.c_2_MIS_MIS_0_0_0_HC_L,ES_27.8.c_2_GNS_DEF_80-99_0_0_L,X
ES_27.8.c_2_MIS_MIS_0_0_0_HC_L,ES_27.8.c_2_LLS_DEF_0_0_0_L,X
ES_27.8.c_2_MIS_MIS_0_0_0_HC_L,ES_27.8.c_2_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_2_MIS_MIS_0_0_0_HC_L,ES_27.8.c_2_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_2_OTB_MPD_>=55_0_0_L,ES_27.8.c_2_GNS_DEF_60-79_0_0_L,X
ES_27.8.c_2_OTB_MPD_>=55_0_0_L,ES_27.8.c_2_GNS_DEF_80-99_0_0_L,X
ES_27.8.c_2_OTB_MPD_>=55_0_0_L,ES_27.8.c_2_LLS_DEF_0_0_0_L,X
ES_27.8.c_2_OTB_MPD_>=55_0_0_L,ES_27.8.c_2_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_2_OTB_MPD_>=55_0_0_L,ES_27.8.c_2_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_2_PS_SPF_0_0_0_L,ES_27.8.c_2_GNS_DEF_60-79_0_0_L,X
ES_27.8.c_2_PS_SPF_0_0_0_L,ES_27.8.c_2_GNS_DEF_80-99_0_0_L,X
ES_27.8.c_2_PS_SPF_0_0_0_L,ES_27.8.c_2_LLS_DEF_0_0_0_L,X
ES_27.8.c_2_PS_SPF_0_0_0_L,ES_27.8.c_2_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_2_PS_SPF_0_0_0_L,ES_27.8.c_2_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_3_GNS_DEF_60-79_0_0_L,ES_27.8.c_3_GTR_DEF_60-79_0_0_L,X
ES_27.8.c_3_GNS_DEF_60-79_0_0_L,ES_27.8.c_3_LLS_DEF_0_0_0_L,X
ES_27.8.c_3_GNS_DEF_60-79_0_0_L,ES_27.8.c_3_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_3_GNS_DEF_60-79_0_0_L,ES_27.8.c_3_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_3_GNS_DEF_80-99_0_0_L,ES_27.8.c_3_GTR_DEF_60-79_0_0_L,X
ES_27.8.c_3_GNS_DEF_80-99_0_0_L,ES_27.8.c_3_LLS_DEF_0_0_0_L,X
ES_27.8.c_3_GNS_DEF_80-99_0_0_L,ES_27.8.c_3_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_3_GNS_DEF_80-99_0_0_L,ES_27.8.c_3_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_3_OTB_MPD_>=55_0_0_L,ES_27.8.c_3_GTR_DEF_60-79_0_0_L,X
ES_27.8.c_3_OTB_MPD_>=55_0_0_L,ES_27.8.c_3_LLS_DEF_0_0_0_L,X
ES_27.8.c_3_OTB_MPD_>=55_0_0_L,ES_27.8.c_3_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_3_OTB_MPD_>=55_0_0_L,ES_27.8.c_3_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_4_GNS_DEF_60-79_0_0_L,ES_27.8.c_4_LLS_DEF_0_0_0_L,X
ES_27.8.c_4_GNS_DEF_60-79_0_0_L,ES_27.8.c_4_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_4_GNS_DEF_60-79_0_0_L,ES_27.8.c_4_OTB_MPD_>=55_0_0_L,X
ES_27.8.c_4_GNS_DEF_60-79_0_0_L,ES_27.8.c_4_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_4_GNS_DEF_80-99_0_0_L,ES_27.8.c_4_LLS_DEF_0_0_0_L,X
ES_27.8.c_4_GNS_DEF_80-99_0_0_L,ES_27.8.c_4_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_4_GNS_DEF_80-99_0_0_L,ES_27.8.c_4_OTB_MPD_>=55_0_0_L,X
ES_27.8.c_4_GNS_DEF_80-99_0_0_L,ES_27.8.c_4_PTB_MPD_>=55_0_0_L,X
ES_27.8.c_4_GTR_DEF_60-79_0_0_L,ES_27.8.c_4_LLS_DEF_0_0_0_L,X
ES_27.8.c_4_GTR_DEF_60-79_0_0_L,ES_27.8.c_4_OTB_DEF_>=55_0_0_L,X
ES_27.8.c_4_GTR_DEF_60-79_0_0_L,ES_27.8.c_4_OTB_MPD_>=55_0_0_L,X
ES_27.8.c_4_GTR_DEF_60-79_0_0_L,ES_27.8.c_4_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_1_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_1_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_1_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_1_OTB_MCD_>=55_0_0_L,X
ES_27.9.a.n_1_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_1_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_1_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_1_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_1_LLS_DEF_0_0_0_L,ES_27.9.a.n_1_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_1_LLS_DEF_0_0_0_L,ES_27.9.a.n_1_OTB_MCD_>=55_0_0_L,X
ES_27.9.a.n_1_LLS_DEF_0_0_0_L,ES_27.9.a.n_1_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_1_LLS_DEF_0_0_0_L,ES_27.9.a.n_1_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_2_LLS_DEF_0_0_0_L,ES_27.9.a.n_2_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_2_LLS_DEF_0_0_0_L,ES_27.9.a.n_2_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_2_MIS_MIS_0_0_0_HC_L,ES_27.9.a.n_2_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_2_MIS_MIS_0_0_0_HC_L,ES_27.9.a.n_2_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_2_OTB_MCD_>=55_0_0_L,ES_27.9.a.n_2_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_2_OTB_MCD_>=55_0_0_L,ES_27.9.a.n_2_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_2_OTB_MPD_>=55_0_0_L,ES_27.9.a.n_2_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_2_OTB_MPD_>=55_0_0_L,ES_27.9.a.n_2_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_2_PS_SPF_0_0_0_L,ES_27.9.a.n_2_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_2_PS_SPF_0_0_0_L,ES_27.9.a.n_2_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_3_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_3_OTB_MCD_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_3_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_60-79_0_0_L,ES_27.9.a.n_3_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_3_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_3_OTB_MCD_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_3_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_3_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_LLS_DEF_0_0_0_L,ES_27.9.a.n_3_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_3_LLS_DEF_0_0_0_L,ES_27.9.a.n_3_OTB_MCD_>=55_0_0_L,X
ES_27.9.a.n_3_LLS_DEF_0_0_0_L,ES_27.9.a.n_3_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_LLS_DEF_0_0_0_L,ES_27.9.a.n_3_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_PS_SPF_0_0_0_L,ES_27.9.a.n_3_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_3_PS_SPF_0_0_0_L,ES_27.9.a.n_3_OTB_MCD_>=55_0_0_L,X
ES_27.9.a.n_3_PS_SPF_0_0_0_L,ES_27.9.a.n_3_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_3_PS_SPF_0_0_0_L,ES_27.9.a.n_3_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_4_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_4_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_4_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_4_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_4_GNS_DEF_80-99_0_0_L,ES_27.9.a.n_4_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_4_LLS_DEF_0_0_0_L,ES_27.9.a.n_4_OTB_DEF_>=55_0_0_L,X
ES_27.9.a.n_4_LLS_DEF_0_0_0_L,ES_27.9.a.n_4_OTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_4_LLS_DEF_0_0_0_L,ES_27.9.a.n_4_PTB_MPD_>=55_0_0_L,X
ES_27.9.a.n_4_OTB_MCD_>=55_0_0_L,ES_27.9.a.n_4_OTB_DEF_>=55_0_0_L,X
