Number at Age

	Season	Q1		Q11		Q12		Q2		Q3		Q4
	Sex	Undetermined		Undetermined		Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number		Number		Number
	0	11866306.824		1065433.444		1337150.699		3896950.882		3889370.180		26315390.014
	1	195738528.173		5787226.826		7263141.996		135543939.232		50182020.812		80906974.070
	2	2036975947.122		38345279.019		48124467.001		1779265365.806		228353274.294		632520176.930
	3	4356411684.071		10495936.769		13172713.189		3397449574.017		171206822.295		560948515.779
	4	1401223273.127		745433.732		935541.531		1542978921.731		41709096.675		113377359.461
	5	583283642.982		355144.481		445716.900		449376992.986		14585535.741		28637593.099
	6	293277906.665		0.000		0.000		226228721.400		6974243.864		16828363.116
	7	283282069.125		0.000		0.000		160690306.662		6341726.121		7241432.696
	8	196294215.581		0.000		0.000		115027214.147		5079146.469		7257152.331
	9	308634017.821		0.000		0.000		114118216.612		9308904.589		15734066.381
	10	52327379.344		0.000		0.000		27366794.310		1699559.322		2503268.063
	11	30215328.139		0.000		0.000		8698518.784		1098251.526		1455421.525
	12	10291180.844		0.000		0.000		3239154.477		355930.013		543202.248
	13	5272186.502		0.000		0.000		10056924.593		189742.020		756067.424
	14	2335163.255		0.000		0.000		856662.636		91949.076		158022.472
	15	2214863.371		0.000		0.000		482072.082		102688.422		102056.180
