Number at Age

	Season	Q1		Q2		Q3		Q4
	Sex	Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number
	0	53242.986		24331.270		45248.027		198113.982
	1	4467793.487		2041716.627		3796910.273		16624393.575
	2	8003072.801		3657287.843		6801332.564		29778957.428
	3	2148500.224		981833.347		1825881.746		7994441.423
	4	5334414.172		2437749.672		4533399.322		19849037.547
	5	738769.456		337606.894		627835.943		2748917.162
	6	112264.246		51303.127		95406.663		417728.575
	7	115771.115		52905.715		98386.941		430777.426
