length_class,value,country,area,order
1,0,Germany,27.7.d,1
2,0,Germany,27.7.d,1
3,0,Germany,27.7.d,1
4,0,Germany,27.7.d,1
5,0,Germany,27.7.d,1
6,0,Germany,27.7.d,1
7,0,Germany,27.7.d,1
8,0,Germany,27.7.d,1
9,0,Germany,27.7.d,1
10,0,Germany,27.7.d,1
11,0,Germany,27.7.d,1
12,0,Germany,27.7.d,1
13,0,Germany,27.7.d,1
14,13.14659197,Germany,27.7.d,1
15,13.14659197,Germany,27.7.d,1
16,33.74860864,Germany,27.7.d,1
17,139.6198924,Germany,27.7.d,1
18,756.0098359,Germany,27.7.d,1
19,740.899567,Germany,27.7.d,1
20,1321.111822,Germany,27.7.d,1
21,842.301559,Germany,27.7.d,1
22,1837.252391,Germany,27.7.d,1
23,1171.709837,Germany,27.7.d,1
24,1116.968051,Germany,27.7.d,1
25,1045.754503,Germany,27.7.d,1
26,792.3092179,Germany,27.7.d,1
27,415.7990573,Germany,27.7.d,1
28,117.8069896,Germany,27.7.d,1
29,0,Germany,27.7.d,1
30,3.312232732,Germany,27.7.d,1
31,3.312232732,Germany,27.7.d,1
32,0,Germany,27.7.d,1
33,0,Germany,27.7.d,1
34,0,Germany,27.7.d,1
35,0,Germany,27.7.d,1
36,0,Germany,27.7.d,1
37,0,Germany,27.7.d,1
38,0,Germany,27.7.d,1
39,0,Germany,27.7.d,1
40,0,Germany,27.7.d,1
41,0,Germany,27.7.d,1
42,0,Germany,27.7.d,1
43,0,Germany,27.7.d,1
44,0,Germany,27.7.d,1
45,0,Germany,27.7.d,1
46,0,Germany,27.7.d,1
47,0,Germany,27.7.d,1
48,0,Germany,27.7.d,1
49,0,Germany,27.7.d,1
50,0,Germany,27.7.d,1
51,0,Germany,27.7.d,1
52,0,Germany,27.7.d,1
53,0,Germany,27.7.d,1
54,0,Germany,27.7.d,1
55,0,Germany,27.7.d,1
56,0,Germany,27.7.d,1
57,0,Germany,27.7.d,1
58,0,Germany,27.7.d,1
59,0,Germany,27.7.d,1
60,0,Germany,27.7.d,1
1,0,Germany,27.4.a,2
2,0,Germany,27.4.a,2
3,0,Germany,27.4.a,2
4,0,Germany,27.4.a,2
5,0,Germany,27.4.a,2
6,0,Germany,27.4.a,2
7,0,Germany,27.4.a,2
8,0,Germany,27.4.a,2
9,0,Germany,27.4.a,2
10,0,Germany,27.4.a,2
11,0,Germany,27.4.a,2
12,0,Germany,27.4.a,2
13,0,Germany,27.4.a,2
14,0,Germany,27.4.a,2
15,0,Germany,27.4.a,2
16,0,Germany,27.4.a,2
17,0,Germany,27.4.a,2
18,0,Germany,27.4.a,2
19,0,Germany,27.4.a,2
20,0,Germany,27.4.a,2
21,0,Germany,27.4.a,2
22,0,Germany,27.4.a,2
23,0,Germany,27.4.a,2
24,0,Germany,27.4.a,2
25,0,Germany,27.4.a,2
26,0,Germany,27.4.a,2
27,0,Germany,27.4.a,2
28,0,Germany,27.4.a,2
29,0.001081452,Germany,27.4.a,2
30,0.001081452,Germany,27.4.a,2
31,0.015140325,Germany,27.4.a,2
32,0.48423085,Germany,27.4.a,2
33,0.968461701,Germany,27.4.a,2
34,0.951158472,Germany,27.4.a,2
35,0.48423085,Germany,27.4.a,2
36,0,Germany,27.4.a,2
37,0,Germany,27.4.a,2
38,0,Germany,27.4.a,2
39,0,Germany,27.4.a,2
40,0,Germany,27.4.a,2
41,0,Germany,27.4.a,2
42,0,Germany,27.4.a,2
43,0,Germany,27.4.a,2
44,0,Germany,27.4.a,2
45,0,Germany,27.4.a,2
46,0,Germany,27.4.a,2
47,0,Germany,27.4.a,2
48,0,Germany,27.4.a,2
49,0,Germany,27.4.a,2
50,0,Germany,27.4.a,2
51,0,Germany,27.4.a,2
52,0,Germany,27.4.a,2
53,0,Germany,27.4.a,2
54,0,Germany,27.4.a,2
55,0,Germany,27.4.a,2
56,0,Germany,27.4.a,2
57,0,Germany,27.4.a,2
58,0,Germany,27.4.a,2
59,0,Germany,27.4.a,2
60,0,Germany,27.4.a,2
1,0,France,27.7.d,3
2,0,France,27.7.d,3
3,0,France,27.7.d,3
4,0,France,27.7.d,3
5,0,France,27.7.d,3
6,0.018720263,France,27.7.d,3
7,0,France,27.7.d,3
8,0,France,27.7.d,3
9,0.259711873,France,27.7.d,3
10,0.356351731,France,27.7.d,3
11,1.275910982,France,27.7.d,3
12,1.091760372,France,27.7.d,3
13,2.855984942,France,27.7.d,3
14,2.521548981,France,27.7.d,3
15,0.485949911,France,27.7.d,3
16,0.957766842,France,27.7.d,3
17,4.456586827,France,27.7.d,3
18,8.104102806,France,27.7.d,3
19,7.926684941,France,27.7.d,3
20,5.449867328,France,27.7.d,3
21,6.431708139,France,27.7.d,3
22,12.77179535,France,27.7.d,3
23,11.07904988,France,27.7.d,3
24,12.66558718,France,27.7.d,3
25,8.221835004,France,27.7.d,3
26,5.980733892,France,27.7.d,3
27,2.008529569,France,27.7.d,3
28,1.846957209,France,27.7.d,3
29,1.109252229,France,27.7.d,3
30,0.887426891,France,27.7.d,3
31,0.829424854,France,27.7.d,3
32,0.1893712,France,27.7.d,3
33,0.123005891,France,27.7.d,3
34,0.068405751,France,27.7.d,3
35,0,France,27.7.d,3
36,0.018878476,France,27.7.d,3
37,0.007090687,France,27.7.d,3
38,0,France,27.7.d,3
39,0,France,27.7.d,3
40,0,France,27.7.d,3
41,0,France,27.7.d,3
42,0,France,27.7.d,3
43,0,France,27.7.d,3
44,0,France,27.7.d,3
45,0,France,27.7.d,3
46,0,France,27.7.d,3
47,0,France,27.7.d,3
48,0,France,27.7.d,3
49,0,France,27.7.d,3
50,0,France,27.7.d,3
51,0,France,27.7.d,3
52,0,France,27.7.d,3
53,0,France,27.7.d,3
54,0,France,27.7.d,3
55,0,France,27.7.d,3
56,0,France,27.7.d,3
57,0,France,27.7.d,3
58,0,France,27.7.d,3
59,0,France,27.7.d,3
60,0,France,27.7.d,3
1,0,UK(Scotland),27.4.a,4
2,0,UK(Scotland),27.4.a,4
