,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,16,,,,,,,,,,,,,,
12,,52,,,,,,,,,,,,,,
13,,15,,,,,,,,,,,,,,
14,,9,,,,,,,,,,,,,,
15,,3,13,,,,,,,,,,,,,
16,,1,28,,,,,,,,,,,,,
17,,1,31,,,,,,,,,,,,,
18,,,15,,,,,,,,,,,,,
19,,,15,1,,,,,,,,,,,,
20,,,10,11,1,,,,,,,,,,,
21,,,3,23,1,,,,,,,,,,,
22,,,3,22,5,,,,,,,,,,,
23,,,,20,15,,,,,,,,,,,
24,,,,14,26,6,,,,,,,,,,
25,,,,5,38,19,,,,,,,,,,
26,,,,,14,36,9,,,,,,,,,
27,,,,,,17,24,3,,,,,,,,
28,,,,,,4,33,15,2,2,,,,,,
29,,,,,,,11,18,10,1,2,,,,,
30,,,,,,,,3,25,7,,,,,,
31,,,,,,,,,1,12,7,1,,,,
32,,,,,,,,,,2,22,6,,,,
33,,,,,,,,,,,7,12,2,,,
34,,,,,,,,,,,,2,6,,,
35,,,,,,,,,,,,,5,3,,1
36,,,,,,,,,,,,,,,8,
37,,,,,,,,,,,,,,,1,1
38,,,,,,,,,,,,,,,,2
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
