,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,3,,,,,,,,,,,,,,,
7,3,,,,,,,,,,,,,,,
8,6,,,,,,,,,,,,,,,
9,6,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,
11,4,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,2,,,,,,,,,,,,,,
15,,6,,,,,,,,,,,,,,
16,,15,,,,,,,,,,,,,,
17,,9,,,,,,,,,,,,,,
18,,9,,,,,,,,,,,,,,
19,,20,4,,,,,,,,,,,,,
20,,20,10,,,,,,,,,,,,,
21,,18,18,,,,,,,,,,,,,
22,,3,17,2,,,,,,,,,,,,
23,,2,24,2,,,,,,,,,,,,
24,,,20,23,,,,,,,,,,,,
25,,,5,25,6,,,,,,,,,,,
26,,,,3,8,,,,,,,,,,,
27,,,,,1,2,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,2,1,,,,,,,,
30,,,,,,,1,1,2,,,,,,,
31,,,,,,,,,,3,1,,,,,
32,,,,,,,,,,,5,,,,,
33,,,,,,,,,,,,2,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,1,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,1
39,,,,,,,,,,,,,,,,1
40,,,,,,,,,,,,,,,,1
41,,,,,,,,,,,,,,,,1
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,2
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
