,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,,
7,15,,,,,,,,,,,,,,,
8,18,,,,,,,,,,,,,,,
9,36,,,,,,,,,,,,,,,
10,22,,,,,,,,,,,,,,,
11,8,,,,,,,,,,,,,,,
12,5,,,,,,,,,,,,,,,
13,2,,,,,,,,,,,,,,,
14,,4,,,,,,,,,,,,,,
15,,15,,,,,,,,,,,,,,
16,,11,,,,,,,,,,,,,,
17,,6,,,,,,,,,,,,,,
18,,7,4,,,,,,,,,,,,,
19,,4,7,,,,,,,,,,,,,
20,,3,9,,,,,,,,,,,,,
21,,,20,2,,,,,,,,,,,,
22,,,18,10,,,,,,,,,,,,
23,,,14,13,,,,,,,,,,,,
24,,,6,29,10,1,,,,,,,,,,
25,,,,18,13,4,,,,,,,,,,
26,,,,,27,11,1,,,,,,,,,
27,,,,,1,19,17,3,,,,,,,,
28,,,,,,12,26,11,1,,,,,,,
29,,,,,,3,14,15,7,,,,,,,
30,,,,,,,1,8,27,13,2,,,,,
31,,,,,,,,,10,25,11,1,,,,
32,,,,,,,,,,2,14,8,1,,,
33,,,,,,,,,,,5,12,6,1,,
34,,,,,,,,,,,1,10,15,4,2,
35,,,,,,,,,,,,3,17,17,5,1
36,,,,,,,,,,,,,1,8,16,5
37,,,,,,,,,,,,,,,6,19
38,,,,,,,,,,,,,,,,21
39,,,,,,,,,,,,,,,,13
40,,,,,,,,,,,,,,,,2
41,,,,,,,,,,,,,,,,2
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
