,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,,,,
16,,2,,,,,,,,,,,,,,
17,,1,,,,,,,,,,,,,,
18,,4,,,,,,,,,,,,,,
19,,2,,,,,,,,,,,,,,
20,,1,5,,,,,,,,,,,,,
21,,1,8,,,,,,,,,,,,,
22,,,6,3,,,,,,,,,,,,
23,,,3,12,5,,,,,,,,,,,
24,,,,8,4,,,,,,,,,,,
25,,,,3,10,2,,,,,,,,,,
26,,,,,6,6,,,,,,,,,,
27,,,,,,1,8,1,,,,,,,,
28,,,,,,,3,5,1,,,,,,,
29,,,,,,,,6,2,2,,,,,,
30,,,,,,,,,4,4,,,,,,
31,,,,,,,,,,3,4,2,,,,
32,,,,,,,,,,,,2,1,1,,
33,,,,,,,,,,,3,4,4,1,,
34,,,,,,,,,,,1,3,5,5,,
35,,,,,,,,,,,,,,5,3,3
36,,,,,,,,,,,,,,2,5,5
37,,,,,,,,,,,,,,,1,10
38,,,,,,,,,,,,,,,,8
39,,,,,,,,,,,,,,,,3
40,,,,,,,,,,,,,,,,1
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
