,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,16,,,,,,,,,,,,,,
13,,48,,,,,,,,,,,,,,
14,,3,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,2,,,,,,,,,,,,,
17,,,11,,,,,,,,,,,,,
18,,2,27,,,,,,,,,,,,,
19,,,17,,,,,,,,,,,,,
20,,,18,1,,,,,,,,,,,,
21,,,14,23,1,,,,,,,,,,,
22,,,15,44,6,,,,,,,,,,,
23,,,7,38,11,,,,,,,,,,,
24,,,,14,11,3,,,,,,,,,,
25,,,,3,10,2,,,,,,,,,,
26,,,,,2,7,4,1,,,,,,,,
27,,,,,,2,2,,,,,,,,,
28,,,,,,1,3,2,1,,,,,,,
29,,,,,,,,3,2,1,,,,,,
30,,,,,,,,,13,7,1,,,,,
31,,,,,,,,,4,26,5,,,,,
32,,,,,,,,,1,6,43,12,4,,,
33,,,,,,,,,,1,11,31,9,,,
34,,,,,,,,,,,1,5,28,1,,
35,,,,,,,,,,,,1,5,9,6,
36,,,,,,,,,,,,,,1,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
