Number at Age

	Season	Q1		Q2
	Sex	Undetermined		Undetermined
	Age	Number		Number
	1	288043329.856		334244368.750
	2	526805305.637		408485091.828
	3	941272076.497		1191265191.256
	4	2465531434.484		2720947815.415
	5	1460625691.692		1224861316.840
	6	412067070.189		145707810.325
	7	180549491.136		77197280.857
	8	62710009.217		46084108.550
	9	52935627.588		16154067.383
	10	30783552.887		16629.457
	11	19512772.293		0.000
	12	6434259.413		0.000
	170	0.000		78887.416
	180	0.000		78887.416
	190	0.000		1341086.078
	200	159383.869		1498860.911
	210	330377.598		1341086.078
	220	4716092.814		2997721.822
	230	22249911.593		8835390.633
	240	39270415.150		18775205.095
	250	61696147.435		29425006.304
	260	71538472.861		28636132.140
	270	62201899.869		21220715.002
	280	43075971.433		10492026.376
	290	26797405.724		6232105.893
	300	15176969.895		3865483.402
	310	9909503.173		2682172.156
	320	7089019.030		1104423.829
	330	3638798.453		788874.164
	340	2739215.127		788874.164
	350	1492504.119		236662.249
	360	597565.672		157774.833
	370	239075.804		78887.416
	380	170993.728		78887.416
	390	159383.869		0.000
