Year;Area;CatchCategory;caton
2000;27.4.a.nshm;Landings;176000
2000;27.4.b;Landings;7636708
2000;27.4.c;Discards;3700
2000;27.4.c;Landings;18294054
2000;27.7.d;Landings;19019115
2001;27.3.a.nshm;Landings;43000
2001;27.4.a.nshm;Landings;212240
2001;27.4.b;Landings;2551769
2001;27.4.c;Landings;4133748
2001;27.7.d;Landings;21390001
2002;27.4.a.nshm;Landings;638670
2002;27.4.b;Catch;25707
2002;27.4.b;Landings;1868306
2002;27.4.c;Catch;2641068
2002;27.4.c;Landings;10767976
2002;27.7.d;Catch;600436
2002;27.7.d;Landings;10722295
2003;27.3.a.nshm;Landings;49260
2003;27.4.a.nshm;Landings;621700
2003;27.4.b;Landings;2337991
2003;27.4.c;Landings;7970901
2003;27.7.d;Landings;21048633
2004;27.3.a.nshm;Landings;303004
2004;27.4.a.nshm;Landings;133305.61
2004;27.4.b;Landings;2621386
2004;27.4.c;Landings;15922192
2004;27.7.d;Landings;16455148.5
2005;27.3.a.nshm;Landings;300
2005;27.4.a.nshm;Landings;1331410
2005;27.4.b;Landings;2809900
2005;27.4.c;Landings;11184957
2005;27.7.d;Discards;62052.82
2005;27.7.d;Landings;15459880
2006;27.3.a.nshm;Landings;185000
2006;27.4.a.nshm;Landings;2192120
2006;27.4.b;Catch;792700
2006;27.4.b;Landings;787525
2006;27.4.c;Catch;3572400
2006;27.4.c;Landings;2842985
2006;27.7.d;Catch;2023000
2006;27.7.d;Discards;78000
2006;27.7.d;Landings;21766321.71
2007;27.3.a.nshm;Landings;11000
2007;27.4.a.nshm;Landings;2050600
2007;27.4.b;Landings;1115149
2007;27.4.c;Discards;120000
2007;27.4.c;Landings;7998873
2007;27.7.d;Discards;19000
2007;27.7.d;Landings;29788775.71
2008;27.3.a.nshm;Landings;26730
2008;27.4.a.nshm;Landings;909840
2008;27.4.b;Landings;383819
2008;27.4.c;Landings;2198054
2008;27.7.d;Landings;32185148
2009;27.3.a.nshm;Landings;21112
2009;27.4.a.nshm;Landings;313872
2009;27.4.b;Landings;13926993.59
2009;27.4.c;Discards;1035820.2
2009;27.4.c;Landings;5047558.26
2009;27.7.d;Landings;25537480.76
2010;27.3.a.nshm;Catch;210
2010;27.4.a.nshm;Catch;100375
2010;27.4.b;Catch;846061
2010;27.4.b;Landings;14979
2010;27.4.c;Catch;870479
2010;27.4.c;Landings;237555
2010;27.7.d;Catch;18509995
2010;27.7.d;Discards;2427
2010;27.7.d;Landings;3566842
2011;27.3.a.nshm;Landings;169
2011;27.4.b;Catch;658
2011;27.4.b;Landings;7902137
2011;27.4.c;Catch;95910
2011;27.4.c;Landings;2435878
2011;27.7.d;Catch;3365800
2011;27.7.d;Landings;13818395
2012;27.3.a.nshm;Landings;157
2012;27.4.a.nshm;Landings;354881
2012;27.4.b;Landings;151586.13
2012;27.4.c;Landings;1407193.02
2012;27.7.d;Landings;19463891.02
2013;27.3.a.nshm;Landings;20
2013;27.4.a.nshm;Landings;17216
2013;27.4.b;Landings;799450.13
2013;27.4.c;Landings;653580.86
2013;27.7.d;Landings;17174735.53
2014;27.3.a.nshm;Discards;340
2014;27.3.a.nshm;Landings;1338
2014;27.4.a.nshm;Discards;65
2014;27.4.a.nshm;Landings;2103
2014;27.4.b;Discards;6791
2014;27.4.b;Landings;294763.51
2014;27.4.c;Discards;7.1
2014;27.4.c;Landings;2302477.48
2014;27.7.d;Discards;273.6
2014;27.7.d;Landings;10771983.19
2015;27.3.a.nshm;Discards;219
2015;27.3.a.nshm;Landings;3388
2015;27.4.a.nshm;Discards;2.44
2015;27.4.a.nshm;Landings;644019
2015;27.4.b;BMS landing;68
2015;27.4.b;Discards;12284.84
2015;27.4.b;Landings;41726.84
2015;27.4.c;Landings;727792.38
2015;27.7.d;BMS landing;4553
2015;27.7.d;Discards;1991386.68
2015;27.7.d;Landings;8576439.81
2016;27.3.a.nshm;BMS landing;0
2016;27.3.a.nshm;Discards;2515
2016;27.3.a.nshm;Landings;1557
2016;27.4.a.nshm;BMS landing;0
2016;27.4.a.nshm;Discards;151
2016;27.4.a.nshm;Landings;1628419
2016;27.4.b;BMS landing;0
2016;27.4.b;Discards;69016
2016;27.4.b;Landings;107149.25
2016;27.4.c;BMS landing;0
2016;27.4.c;Discards;26859.08
2016;27.4.c;Landings;867579.17
2016;27.7.d;BMS landing;1244
2016;27.7.d;Discards;1428430.22
2016;27.7.d;Landings;11207625.24
2017;27.3.a.nshm;Discards;12
2017;27.3.a.nshm;Landings;22
2017;27.4.a.nshm;BMS landing;0
2017;27.4.a.nshm;Discards;34011.61
2017;27.4.a.nshm;Landings;22076
2017;27.4.b;BMS landing;0
2017;27.4.b;Discards;19975
2017;27.4.b;Landings;101535.44
2017;27.4.c;Discards;494.97
2017;27.4.c;Landings;2455218.04
2017;27.7.d;Discards;1158355.05
2017;27.7.d;Landings;10787358.87
