Mean weight at age in catch (kg); Blue whiting combined stock, CATCH WTS kg                    
1   3               
1981   2024              
1   10               
1                                               
 0.052   0.065   0.103   0.125   0.141   0.155   0.170   0.178   0.187   0.213     #1981
 0.045   0.072   0.111   0.143   0.156   0.177   0.195   0.200   0.204   0.231     #1982
 0.046   0.074   0.118   0.140   0.153   0.176   0.195   0.200   0.204   0.228     #1983
 0.035   0.078   0.089   0.132   0.153   0.161   0.175   0.189   0.186   0.206     #1984
 0.038   0.074   0.097   0.114   0.157   0.177   0.199   0.208   0.218   0.237     #1985
 0.040   0.073   0.108   0.130   0.165   0.199   0.209   0.243   0.246   0.257     #1986
 0.048   0.086   0.106   0.124   0.147   0.177   0.208   0.221   0.222   0.254     #1987
 0.053   0.076   0.097   0.128   0.142   0.157   0.179   0.199   0.222   0.260     #1988
 0.059   0.079   0.103   0.126   0.148   0.158   0.171   0.203   0.224   0.253     #1989
 0.045   0.070   0.106   0.123   0.147   0.168   0.175   0.214   0.217   0.256     #1990
 0.055   0.091   0.107   0.136   0.174   0.190   0.206   0.230   0.232   0.266     #1991
 0.057   0.083   0.119   0.140   0.167   0.193   0.226   0.235   0.284   0.294     #1992
 0.066   0.082   0.109   0.137   0.163   0.177   0.200   0.217   0.225   0.281     #1993
 0.061   0.087   0.108   0.137   0.164   0.189   0.207   0.217   0.247   0.254     #1994
 0.064   0.091   0.118   0.143   0.154   0.167   0.203   0.206   0.236   0.256     #1995
 0.041   0.080   0.102   0.116   0.147   0.170   0.214   0.230   0.238   0.279     #1996
 0.047   0.072   0.102   0.121   0.140   0.166   0.177   0.183   0.203   0.232     #1997
 0.048   0.072   0.094   0.125   0.149   0.178   0.183   0.188   0.221   0.248     #1998
 0.063   0.078   0.088   0.109   0.142   0.170   0.199   0.193   0.192   0.245     #1999
 0.057   0.075   0.086   0.104   0.133   0.156   0.179   0.187   0.232   0.241     #2000
 0.050   0.078   0.094   0.108   0.129   0.163   0.186   0.193   0.231   0.243     #2001
 0.054   0.074   0.093   0.115   0.132   0.155   0.173   0.233   0.224   0.262     #2002
 0.049   0.075   0.098   0.108   0.131   0.148   0.168   0.193   0.232   0.258     #2003
 0.042   0.066   0.089   0.102   0.123   0.146   0.160   0.173   0.209   0.347     #2004
 0.039   0.068   0.084   0.099   0.113   0.137   0.156   0.166   0.195   0.217     #2005
 0.049   0.072   0.089   0.105   0.122   0.138   0.163   0.190   0.212   0.328     #2006
 0.0503  0.0638  0.0911  0.1027  0.1150  0.1304  0.1462  0.1687  0.1822  0.2494    #2007
 0.05456 0.07461 0.10005 0.10624 0.11972 0.13278 0.14604 0.15998 0.19279 0.20853   #2008 
 0.05638 0.08452 0.10491 0.11888 0.12424 0.13847 0.14944 0.17930 0.21402 0.25058   #2009
 0.05162 0.06403 0.10959 0.15384 0.15371 0.16281 0.17464 0.18708 0.20037 0.27243   #2010
 0.05543  0.07894 0.10675 0.13595 0.16943 0.16940 0.17923 0.18931 0.21440 0.26989   #2011        
 0.04149  0.07183 0.09784 0.14050 0.15843 0.17191 0.17991 0.18528 0.18912 0.20272  #2012  
 0.05088  0.07676 0.09373 0.11682 0.13921 0.16167 0.18535 0.18836 0.19809 0.19722  # 2013
 0.04898  0.07773 0.09266 0.11156 0.12798 0.15517 0.17767 0.18956 0.20181 0.21699  # 2014 
 0.03929 0.06971  0.09447 0.11704 0.13652 0.15483 0.17443 0.18334 0.19257 0.20090  # 2015
 0.04684 0.06597  0.08373 0.10706 0.12491 0.14177 0.15226 0.16677 0.18390 0.20602  # 2016  
 0.05575 0.07227  0.08018 0.09444 0.11268 0.13113 0.14828 0.17218 0.19040 0.21163  # 2017
 0.05523 0.07991  0.09096 0.09794 0.11110 0.12891 0.14232 0.16470 0.17469 0.21613  # 2018
 0.06751 0.08467  0.09873 0.10898 0.11762 0.12960 0.14402 0.16702 0.16709 0.22836  # 2019 data update 21 Aug 2020 
 0.06308 0.08442  0.09884 0.11507 0.12747 0.13541 0.14432 0.16071 0.17624 0.20741  # 2020 data update 19 Aug 2021
 0.05823 0.08638  0.09862 0.11875 0.13316 0.14314 0.15024 0.16578 0.18073 0.20863  # 2021
 0.04803 0.06718  0.08575 0.10579 0.12210 0.13564 0.14141 0.15240 0.15527 0.18860  # 2022 data updated 23 Aug 2023
 0.05095 0.06740  0.07846 0.09066 0.11660 0.13822 0.15676 0.16647 0.17556 0.20153  # 2023 data updated 29 Aug 2024
 0.05333 0.07641  0.08335 0.09396 0.11217 0.13900 0.15454 0.16121 0.15747 0.18406  # final data from WGWIDE 2025 (27-08-2025)
