"length_class","27.7.d","27.4.a","27.4.b","27.4.c"
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,4.89566012360486e-05,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0.00190834663973673,0,0,0
13,0.00190834663973673,0,0,0
14,0.00298381582016429,0,0,0
15,0.00753963335107759,0,0,0
16,0.00952884389785378,0,0,0
17,0.0138765967994976,0,0,0
18,0.0102664279405369,0,0,0.052245377164661
19,0.011261033213925,0,0,0.133842089815087
20,0.0168114560182264,0,0.00689574592452926,0.113883181684767
21,0.0461205034538054,0,0.0137914918068991,0.231435280305254
22,0.0461205034538054,0,0.00689574592452926,0.108306427942471
23,0.0153735011539275,0,0.0344787295383275,0.118579395362489
24,0.107614508085469,0,0.0206872377314284,0.133842089815087
25,0.169108512697191,0,0.0137914918068991,0.0689756383915468
26,0.122988009243385,0,0.0344787295383275,0.0259759319049017
27,0.0614940046117214,0,0.0206872377314284,0.00645729380686821
28,0.138361510381359,0,0.00689574592452926,0.00645729380686821
29,0.0153735011539275,0,0,0
30,0.107614508085469,0,0,0
31,0.0768675057696374,0.000353678915915644,0,0
32,0.0153735011539275,0.00279335607790175,0.0365825149706982,0
33,0.000939803121701818,0.0170584797906027,0.146330059840633,0
34,0.000191763416424235,0.0591474050834237,0.146330059840633,0
35,8.25584113209978e-05,0.148002482492592,0.21949508973987,0
36,8.25584113209978e-05,0.225149635802148,0.146330059840633,0
37,7.98952368072876e-05,0.290016711050828,0.109747544869935,0
38,0,0.20053594532417,0,0
39,7.98952368072876e-05,0.0491613693122745,0.0365825149706982,0
40,0,0.00707357831831287,0,0
41,0,0.000707357831831287,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
