Number at Age

	Season	Q1		Q2		Q3		Q4		Year 2019
	Sex	Undetermined		Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number		Number
	2	621.546		1.102		2457.984		293.179		0.000
	3	3655.142		2.790		14453.165		1723.920		0.000
	4	1902.694		19.670		7531.352		898.312		0.000
	5	7648.181		170.664		30210.528		3603.074		0.000
	6	1507.413		3616.107		5171.461		622.947		0.000
	7	1755.325		7805.072		5233.671		636.843		0.000
	8	967.611		2153.723		3357.766		403.287		0.000
	9	3730.635		9798.394		12612.983		1519.544		0.000
	10	4482.541		33870.062		10323.988		1284.457		0.000
	11	4185.629		24267.689		11238.082		1380.770		0.000
	12	1888.381		17617.863		3608.794		460.124		0.000
	13	1736.456		16200.463		3317.757		423.189		0.000
	14	890.316		8306.304		1701.242		216.959		0.000
	15	17762.510		159506.165		35309.839		4479.209		0.000
	70	0.000		5.190		246.012		1.451		0.000
	120	15.727		9771.527		20.451		0.000		0.000
	130	5396.482		9885.104		20.451		31.760		0.000
	140	5420.088		24868.063		15045.160		120.217		0.000
	150	4669.283		13700.424		37914.308		250.957		0.000
	160	16.614		11332.723		47905.126		282.490		0.000
	170	99.517		63302.546		69860.881		411.383		0.000
	180	2019.083		40996.717		51673.403		315.895		0.000
	190	6792.577		118750.784		56833.714		372.819		0.000
	200	49466.554		118735.417		84722.936		789.261		0.000
	210	41038.690		118664.889		19613.719		1717.467		0.000
	220	37703.964		129685.388		50445.339		1879.465		0.000
	230	9621.966		127920.506		58854.356		855.171		0.000
	240	8065.488		129367.451		25345.956		3372.276		0.000
	250	6201.855		100587.958		22202.960		5159.293		0.000
	260	7201.167		87832.797		20468.759		3793.335		0.000
	270	1309.818		44347.155		862.525		1828.139		0.000
	280	1215.102		47341.272		1674.854		4102.310		0.000
	290	5752.331		1132.797		267.254		489.143		0.000
	300	2368.113		9147.521		1199.173		3199.035		0.000
	310	633.875		75.186		831.356		2278.916		0.000
	320	128.173		65.717		171.394		455.878		0.000
	330	6.773		3014.903		12.703		0.000		0.000
	340	2.029		47.073		4.758		0.178		0.000
	350	2.409		39.741		4.017		0.000		0.000
	360	0.975		21.297		2.153		0.000		0.000
	370	0.430		13.997		1.415		0.000		0.000
	380	0.311		4.001		0.404		0.000		0.000
	390	0.000		8.470		0.856		0.000		0.000
	410	0.029		0.377		0.038		0.000		0.000
