Number at Age

	Season	Q1		Q2		Q3		Q4		Year 2019
	Sex	Undetermined		Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number		Number
	2	58813.690		3.081		25895.271		900227.874		1373.975
	3	345867.235		7.799		134088.655		5293962.579		8079.098
	4	180042.069		54.980		159584.914		2755940.874		4209.911
	5	725398.023		2223.687		293119.773		11052821.648		16905.677
	6	183126.068		46253.264		68000.776		1638617.777		3332.818
	7	253474.395		100071.450		43579.163		1364957.198		3879.543
	8	115522.812		27754.808		27959.078		1076500.763		2138.571
	9	462517.835		125735.150		121650.832		3925697.192		8246.087
	10	802991.531		434584.406		85964.664		1382962.900		9907.118
	11	667993.614		310901.135		93576.045		2401655.534		9250.897
	12	376188.597		225626.293		30049.316		77541.953		4173.618
	13	345959.204		207439.827		27625.935		71317.609		3837.840
	14	177372.008		106366.447		14165.714		36562.738		1967.738
	15	3468637.445		2042976.074		294014.133		1666183.419		39257.930
	70	0.000		294.376		87.508		1645.477		8.968
	120	17044.387		11474.877		3411.097		0.000		349.581
	130	26612.701		17916.601		3411.097		36007.402		545.827
	140	52195.555		53081.539		13864.455		136296.216		1617.122
	150	30598.588		65935.810		17946.132		284522.482		2008.726
	160	18005.429		69418.767		20635.874		320273.272		2114.834
	170	107851.911		156049.571		46388.310		466405.276		4754.030
	180	73016.020		110888.908		32267.839		358146.244		3378.216
	190	216553.154		213503.679		61117.397		422684.268		6504.362
	200	289802.604		297102.832		70657.836		894824.849		9038.587
	210	688611.755		213628.711		130895.459		2178446.275		14890.612
	220	700913.801		255826.800		145031.611		2362110.627		16217.094
	230	374135.009		249357.960		95590.910		1046639.930		10135.374
	240	1197087.600		246357.664		255139.173		4362941.257		26401.814
	250	1691529.150		245769.781		360191.214		6697328.467		37083.151
	260	1259770.007		234987.659		273551.465		4917406.147		28250.964
	270	625913.689		167852.213		143994.653		2381008.987		14770.432
	280	1316871.710		152143.713		279436.301		5344796.435		28629.339
	290	147312.109		112180.360		44606.507		631654.443		4773.515
	300	979238.890		40330.974		200025.276		4166529.192		20551.736
	310	686964.414		7800.352		138685.440		2969166.859		14210.892
	320	138907.829		6815.405		28607.607		593941.041		2929.746
	330	7339.795		10182.691		2118.865		0.000		217.148
	340	2199.300		4866.162		823.770		201.879		81.336
	350	2610.598		4133.614		670.029		0.000		68.667
	360	1056.806		2215.204		359.069		0.000		36.799
	370	465.566		1455.854		235.983		0.000		24.184
	380	337.036		416.126		67.451		0.000		6.913
	390	0.000		881.036		142.810		0.000		14.636
	410	31.736		39.183		6.351		0.000		0.651
