Number at Lngt

	Season	Q1		Q2		Q3		Q4
	Sex	Undetermined		Undetermined		Undetermined		Undetermined
	Lngt	Number		Number		Number		Number
	2	242.901		0.000		0.000		0.000
	3	1428.277		0.000		0.000		0.000
	4	744.256		0.000		0.000		0.000
	5	2982.389		0.000		0.000		0.000
	6	438.015		0.000		0.000		0.000
	7	359.604		0.000		0.000		0.000
	8	288.591		0.000		0.000		0.000
	9	1048.897		0.000		0.000		0.000
	10	336.882		0.000		0.000		0.000
	11	620.006		0.000		0.000		0.000
	12	0.296		0.000		0.000		0.000
	13	0.185		0.000		0.000		0.000
	14	0.092		0.000		0.000		0.000
	15	264.129		0.000		0.000		0.000
	70	0.000		0.000		0.000		0.000
	120	16.684		0.000		0.000		0.000
	130	26.050		0.000		0.000		0.000
	140	51.093		0.000		0.000		0.000
	150	29.952		0.000		0.000		0.000
	160	17.625		0.000		0.000		0.000
	170	105.573		0.000		0.000		0.000
	180	71.473		0.000		0.000		0.000
	190	211.978		0.000		0.000		0.000
	200	283.680		0.000		0.000		0.000
	210	674.064		0.000		0.000		0.000
	220	686.106		0.000		0.000		0.000
	230	366.231		0.000		0.000		0.000
	240	1171.798		0.000		0.000		0.000
	250	1655.794		0.000		0.000		0.000
	260	1233.156		0.000		0.000		0.000
	270	612.691		0.000		0.000		0.000
	280	1289.051		0.000		0.000		0.000
	290	144.200		0.000		0.000		0.000
	300	958.551		0.000		0.000		0.000
	310	672.451		0.000		0.000		0.000
	320	135.973		0.000		0.000		0.000
	330	7.185		0.000		0.000		0.000
	340	2.153		0.000		0.000		0.000
	350	2.555		0.000		0.000		0.000
	360	1.034		0.000		0.000		0.000
	370	0.456		0.000		0.000		0.000
	380	0.330		0.000		0.000		0.000
	390	0.000		0.000		0.000		0.000
	410	0.031		0.000		0.000		0.000
