SD,ES,2020,Quarter,1,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,N,lngt,33,-9,100,1,95,-9,-9,kg,k,cm,cm,NA,4.519,0.32,33,-9,-9,-9
SD,ES,2020,Quarter,1,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,N,lngt,34,-9,100,1,95,-9,-9,kg,k,cm,cm,NA,2.824,0.35,34,-9,-9,-9
SD,ES,2020,Quarter,1,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,N,lngt,35,-9,100,1,95,-9,-9,kg,k,cm,cm,NA,1.695,0.381,35,-9,-9,-9
SD,ES,2020,Quarter,1,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,N,lngt,36,-9,100,1,95,-9,-9,kg,k,cm,cm,NA,1.412,0.414,36,-9,-9,-9
SD,ES,2020,Quarter,1,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,N,lngt,37,-9,100,1,95,-9,-9,kg,k,cm,cm,NA,0.565,0.45,37,-9,-9,-9
HI,ES,2020,Quarter,2,PS_SPF_0_0_0,Div,27.8.b,NA,kWd,0,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,2,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,3,PS_SPF_0_0_0,Div,27.8.b,NA,kWd,0,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,3,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,4,PS_SPF_0_0_0,Div,27.8.b,NA,kWd,4795.38,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,4,PS_SPF_0_0_0,Div,27.8.b,NA,HOM,NA,L,R,NA,H,M,NA,t,10.366,10.366,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,1,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,kWd,5033.01,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,1,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,2,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,kWd,25132.08,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,2,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,HOM,NA,L,R,NA,H,M,NA,t,0.105,0.105,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,3,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,kWd,29861.95,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,3,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,HOM,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,4,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,kWd,24256.55,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,4,GNS_DEF_120-219_0_0,SubDiv,27.7.j.2,NA,HOM,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,1,OTB_DEF_70-99_0_0,Div,27.7.b,NA,kWd,0,NA,,,,,,,,,,,,,,,,,,,,,
SI,ES,2020,Quarter,1,OTB_DEF_70-99_0_0,Div,27.7.b,NA,HOM,NA,L,R,NA,H,M,NA,t,0,0,-9,NA,NA,NA,,,,,,,,,
HI,ES,2020,Quarter,2,OTB_DEF_70-99_0_0,Div,27.7.b,NA,kWd,12957.96,NA,,,,,,,,,,,,,,,,,,,,,
