,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,,,
8,20,,,,,,,,,,,,,,,
9,25,,,,,,,,,,,,,,,
10,17,,,,,,,,,,,,,,,
11,8,,,,,,,,,,,,,,,
12,4,,,,,,,,,,,,,,,
13,2,,,,,,,,,,,,,,,
14,7,,,,,,,,,,,,,,,
15,6,,,,,,,,,,,,,,,
16,2,1,,,,,,,,,,,,,,
17,,5,,,,,,,,,,,,,,
18,,19,,,,,,,,,,,,,,
19,,28,12,1,,,,,,,,,,,,
20,,12,32,1,,,,,,,,,,,,
21,,2,73,2,,,,,,,,,,,,
22,,2,53,7,2,,,,,,,,,,,
23,,,42,11,1,,,,,,,,,,,
24,,,7,8,1,1,,,,,,,,,,
25,,,5,6,2,6,2,,,,,,,,,
26,,,,16,10,2,,,,,,,,,,
27,,,,9,22,6,1,,,,,,,,,
28,,,,,10,16,1,2,,,,,,,,
29,,,,,,37,10,,,,,,,,,
30,,,,,,10,37,17,2,,,,,,,
31,,,,,,5,26,28,11,1,,,,,,
32,,,,,,,1,20,36,4,,,,,,
33,,,,,,,2,5,17,44,5,,,,,
34,,,,,,,2,7,10,14,35,5,,,,
35,,,,,,,3,4,8,4,18,11,2,,,
36,,,,,,,3,7,2,8,3,12,3,1,,
37,,,,,,,2,4,4,2,3,7,10,3,,
38,,,,,,,1,,1,3,1,2,1,6,4,3
39,,,,,,,,,,1,2,3,,,4,3
40,,,,,,,,,,1,1,1,2,,,5
41,,,,,,,,,,,1,,,,,1
42,,,,,,,,,,,,,,,,1
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
