,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15plus
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,9,,,,,,,,,,,,,
21,,,5,2,,,,,,,,,,,,
22,,,4,3,,,,,,,,,,,,
23,,,4,5,,,,,,,,,,,,
24,,,2,9,1,,,,,,,,,,,
25,,,,9,24,2,,,,,,,,,,
26,,,,3,12,5,2,,,,,,,,,
27,,,,,1,4,3,2,,,,,,,,
28,,,,,,3,12,5,1,,,,,,,
29,,,,,,,3,5,5,,,,,,,
30,,,,,,,,,2,,,,,,,
31,,,,,,,,,,2,,2,,,,
32,,,,,,,,,,1,,3,2,,,
33,,,,,,,,,,,,4,,,1,
34,,,,,,,,,,,,,2,1,1,
35,,,,,,,,,,,,,3,3,1,
36,,,,,,,,,,,,,,3,,
37,,,,,,,,,,,,,,,,3
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
