length_class,27.7.d
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0.001841172
17,0.014729372
18,0.033409338
19,0.05825296
20,0.121438065
21,0.159852706
22,0.137386756
23,0.122066014
24,0.111665224
25,0.105952715
26,0.054326753
27,0.030165949
28,0.021112507
29,0.013321059
30,0.006370941
31,0.005212588
32,0.001737529
33,0.001158353
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
