DIVISION;QUARTER;YEAR;COUNTRY;AGEMEASUREMENTS;TOTALMEASUREMENTS;NOSAMPLES
4a;3;2001;eng;100;100;4
4a;3;2003;ned;50;50;2
4a;3;2004;eng;75;288;3
4a;3;2004;ned;25;93;1
4a;3;2005;ned;24;84;1
4a;3;2006;eng;50;259;2
4a;3;2013;eng;50;238;2
4a;3;2015;eng;50;194;2
4a;3;2015;ned;50;161;2
4a;3;2016;eng;100;345;4
4a;3;2016;ned;250;1022;10
4a;3;2017;eng;50;204;2
4a;3;2017;ned;175;618;7
4a;4;2011;ned;25;105;1
4a;4;2014;ned;75;284;3
4b;2;2019;ned;25;92;1
4b;3;2000;ned;225;225;9
4b;3;2001;eng;75;75;3
4b;3;2001;ned;125;125;5
4b;3;2002;ned;50;416;4
4b;3;2004;ned;25;196;1
4b;3;2011;eng;25;99;1
4b;3;2013;eng;25;126;1
4b;3;2013;ned;50;801;2
4b;3;2014;ned;25;115;1
4b;3;2016;ned;50;348;2
4b;3;2019;eng;25;127;1
4b;4;2002;eng;0;186;1
4b;4;2011;ned;25;71;1
4b;4;2019;eng;25;195;1
4c;1;2004;ned;0;100;4
4c;1;2005;ned;50;283;2
4c;1;2006;ned;25;190;1
4c;1;2007;ned;100;624;4
4c;1;2014;eng;50;380;2
4c;1;2016;eng;100;765;4
4c;2;2001;eng;50;50;2
4c;2;2002;eng;25;204;2
4c;3;2000;ned;175;175;7
4c;3;2001;eng;125;125;5
4c;3;2002;eng;75;681;6
4c;3;2002;ned;150;490;7
4c;3;2003;eng;75;75;3
4c;3;2003;ned;50;50;2
4c;3;2004;ned;50;447;2
4c;3;2006;ned;25;213;1
4c;3;2012;ned;75;691;3
4c;3;2015;eng;50;614;2
4c;4;2000;ned;50;50;2
4c;4;2001;eng;125;125;5
4c;4;2002;eng;175;962;13
4c;4;2002;ned;225;3282;23
4c;4;2003;eng;25;25;1
4c;4;2003;ned;125;125;5
4c;4;2004;ned;50;297;2
4c;4;2005;eng;25;154;1
4c;4;2009;ned;25;253;1
4c;4;2012;ned;25;155;1
4c;4;2014;eng;25;220;1
4c;4;2014;ned;25;190;1
4c;4;2016;ned;25;231;1
4c;4;2017;eng;75;660;3
4c;4;2017;ned;75;720;3
4c;4;2018;eng;25;168;1
4c;4;2019;eng;125;1206;5
6a;1;2000;ned;50;50;2
6a;1;2002;ned;100;270;7
6a;1;2003;ned;100;100;4
6a;1;2004;ned;0;75;3
6a;1;2006;ned;25;121;1
6a;1;2007;ned;25;91;1
6a;1;2011;ned;50;192;2
6a;1;2012;ned;25;85;1
6a;1;2013;gbr;25;282;1
6a;1;2014;ned;125;851;5
6a;1;2015;ned;50;142;2
6a;1;2016;ned;200;905;8
