Fleet;Month;ICESRect;Tonnes
TrawlPlus;1;28E9;0.644
TrawlPlus;2;28E9;0.123
TrawlPlus;3;28E9;0.139
TrawlPlus;1;29E9;0.426
TrawlPlus;12;29E9;0.47
OTB_CRU_70-99_0_0_all;1;29F0;0.072
TrawlPlus;1;29F0;0.805
GTR_DEF_all_0_0_all;2;29F0;0.207
OTB_CRU_70-99_0_0_all;2;29F0;0.034
TrawlPlus;2;29F0;0.254
TrawlPlus;3;29F0;0.728
TrawlPlus;9;29F0;0.02
TrawlPlus;10;29F0;0.195
OTB_CRU_70-99_0_0_all;11;29F0;0.023
TrawlPlus;11;29F0;1.439
OTB_CRU_70-99_0_0_all;12;29F0;0.022
TrawlPlus;12;29F0;0.325
OTB_CRU_70-99_0_0_all;11;29F1;1.464
OTB_CRU_70-99_0_0_all;12;29F1;0.008
TrawlPlus;1;30E9;0.026
TrawlPlus;2;30E9;0.046
TrawlPlus;3;30E9;0.12
TrawlPlus;5;30E9;0.002
OTB_CRU_70-99_0_0_all;1;30F0;0.015
TrawlPlus;1;30F0;0.13
OTB_CRU_70-99_0_0_all;2;30F0;0.04
TrawlPlus;2;30F0;1.079
TrawlPlus;3;30F0;0.09
TrawlPlus;4;30F0;0.018
TrawlPlus;5;30F0;0.005
TrawlPlus;6;30F0;0.003
TrawlPlus;7;30F0;0
TrawlPlus;9;30F0;0.26
TrawlPlus;10;30F0;0.683
TrawlPlus;11;30F0;0.072
TrawlPlus;4;30F1;0.065
TrawlPlus;5;30F1;0.003
TrawlPlus;7;30F1;0.001
TrawlPlus;10;30F1;0.084
OTB_CRU_70-99_0_0_all;11;30F1;0.132
TrawlPlus;11;30F1;0.327
OTB_CRU_70-99_0_0_all;12;30F1;0.038
OTB_DEF_32-69_0_0_all;12;30F1;0.01
TrawlPlus;12;30F1;0.162
TrawlPlus;3;31F1;0.103
TrawlPlus;5;31F1;0.013
TrawlPlus;9;31F1;0.26
TrawlPlus;10;31F1;0.727
OTB_CRU_70-99_0_0_all;11;31F1;0.658
TrawlPlus;11;31F1;0.515
OTB_CRU_70-99_0_0_all;12;31F1;0.83
OTB_DEF_32-69_0_0_all;12;31F1;0.047
TrawlPlus;12;31F1;0.144
TrawlPlus;3;31F2;0.25
TrawlPlus;4;31F2;0.008
TrawlPlus;5;31F2;0.186
TrawlPlus;6;31F2;0.26
TrawlPlus;7;31F2;0.011
TrawlPlus;8;31F2;0.001
TrawlPlus;9;31F2;0.615
TrawlPlus;10;31F2;0.187
TrawlPlus;11;31F2;0.109
OTB_CRU_70-99_0_0_all;12;31F2;0.012
TrawlPlus;12;31F2;0.006
TrawlPlus;5;31F3;0.02
TrawlPlus;6;31F3;0.075
TrawlPlus;7;31F3;0.005
TrawlPlus;8;32F2;0.09
TrawlPlus;9;32F2;0.621
TrawlPlus;10;32F2;0.105
TrawlPlus;11;32F2;0.383
TrawlPlus;12;32F2;0.028
TrawlPlus;8;33F2;0.174
TrawlPlus;9;33F2;0.113
TrawlPlus;10;36F2;0.003
TrawlPlus;11;36F2;0.12
TrawlPlus;12;36F2;0.097
TrawlPlus;10;37F0;0.015
