length_class,country,area,quarter,value,year
20,France,27.7.d,Q2,0.413980641,2019
21,France,27.7.d,Q2,2.171238127,2019
22,France,27.7.d,Q2,0.827961283,2019
23,France,27.7.d,Q2,9.108189805,2019
24,France,27.7.d,Q2,26.81161048,2019
25,France,27.7.d,Q2,45.37519966,2019
26,France,27.7.d,Q2,47.18460074,2019
27,France,27.7.d,Q2,52.78040883,2019
28,France,27.7.d,Q2,44.27227861,2019
29,France,27.7.d,Q2,47.93194901,2019
30,France,27.7.d,Q2,12.78789196,2019
31,France,27.7.d,Q2,3.29871428,2019
32,France,27.7.d,Q2,2.190165589,2019
33,France,27.7.d,Q2,1.823317469,2019
34,France,27.7.d,Q2,0.961577879,2019
35,France,27.7.d,Q2,0.413980641,2019
36,France,27.7.d,Q2,0.413980641,2019
37,France,27.7.d,Q2,0.400626427,2019
39,France,27.7.d,Q2,0.400626427,2019
13,France,27.7.d,Q1,5.371925837,2019
14,France,27.7.d,Q1,5.371925837,2019
15,France,27.7.d,Q1,4.641049146,2019
18,France,27.7.d,Q1,1.951710014,2019
19,France,27.7.d,Q1,6.59275916,2019
20,France,27.7.d,Q1,49.19914744,2019
21,France,27.7.d,Q1,40.40329468,2019
22,France,27.7.d,Q1,37.05721733,2019
23,France,27.7.d,Q1,9.276744625,2019
24,France,27.7.d,Q1,6.960913382,2019
25,France,27.7.d,Q1,4.641049146,2019
26,France,27.7.d,Q1,6.038753352,2019
27,France,27.7.d,Q1,0.73227545,2019
29,France,27.7.d,Q1,5.616403727,2019
30,France,27.7.d,Q1,1.4645509,2019
12,France,27.7.d,Q2,9.569207456,2019
13,France,27.7.d,Q2,9.569207456,2019
14,France,27.7.d,Q2,23.93215461,2019
15,France,27.7.d,Q2,12.53787505,2019
16,France,27.7.d,Q2,10.10876411,2019
17,France,27.7.d,Q2,60.55115371,2019
18,France,27.7.d,Q2,39.04157635,2019
19,France,27.7.d,Q2,114.9863881,2019
20,France,27.7.d,Q2,113.5043404,2019
21,France,27.7.d,Q2,114.9365716,2019
22,France,27.7.d,Q2,125.1893699,2019
23,France,27.7.d,Q2,123.6845358,2019
24,France,27.7.d,Q2,125.4965193,2019
25,France,27.7.d,Q2,97.05469538,2019
26,France,27.7.d,Q2,84.52154299,2019
27,France,27.7.d,Q2,42.31826308,2019
28,France,27.7.d,Q2,45.44090518,2019
30,France,27.7.d,Q2,8.662318924,2019
33,France,27.7.d,Q2,2.889228382,2019
14,France,27.7.d,Q3,14.96203677,2019
15,France,27.7.d,Q3,37.80671403,2019
16,France,27.7.d,Q3,47.78140521,2019
17,France,27.7.d,Q3,69.58276384,2019
18,France,27.7.d,Q3,51.47994434,2019
19,France,27.7.d,Q3,56.46728993,2019
20,France,27.7.d,Q3,84.29931278,2019
21,France,27.7.d,Q3,18.82894666,2019
22,France,27.7.d,Q3,49.57581447,2019
23,France,27.7.d,Q3,58.28124924,2019
24,France,27.7.d,Q3,23.81629225,2019
25,France,27.7.d,Q3,20.04346539,2019
