Year,0,1,2,3,4,5,6,7,8
1972,12649827.1703418,12492893.2441356,2152973.1160434,73463.453047872,44733.3064624315,417867.746330901,7969.15873102693,489.395864641042,1188.71005733719
1973,32687783.0715464,3327113.42890446,2420147.34807046,523314.431320826,16466.94189388,11720.7162400441,133338.618883797,2610.30975741743,796.371531773805
1974,64979644.7502129,9085311.77400483,593688.145665349,667725.768738676,126309.280058689,4561.14588708013,3808.17387085807,43740.3958574449,1001.23107673555
1975,6249832.56622871,18314250.0233441,1716094.20607918,142299.40879254,173929.303521272,34734.5671743682,1535.87165921858,1271.71579615471,12493.248828278
1976,7216914.00708194,1624482.05255015,3585954.09334802,403028.218457143,30571.7165792492,45529.9796858686,10415.7736933374,458.520919851801,3856.24669268593
1977,10302559.0063841,1900065.1763579,301614.548982126,942045.202839054,86430.5771405652,8143.57998233233,13479.3783623942,3219.25599436631,1333.6610607763
1978,18077320.9400494,2741128.90661805,359497.125568451,74038.2635345642,232877.953324197,21390.3103476571,2516.63154574542,4238.10512555586,1973.01894137626
1979,29049767.2806263,4792195.47004301,564190.712323635,90199.7393417664,16752.7316139037,62353.8134691076,6117.35911487544,773.361093239499,1873.38441638886
1980,7730850.08078639,7793410.43253104,1052246.36868556,158594.180067849,21040.0977482227,4608.04870770805,20431.648265086,1968.55348009268,925.72525406959
1981,12568912.0277456,1942791.86665844,1776721.90672735,333660.627476742,42189.6974956598,5892.78874050724,1672.40855615375,7523.445971082,825.707349081331
1982,7520587.75433249,3284638.76139156,425341.823308375,662879.645294991,103768.638252002,14651.8012397546,2293.68749542973,780.06577364272,3065.25356122727
1983,22651401.479561,1899460.98827126,756830.929115895,152813.85259863,214329.966679354,34756.9242116737,6334.60101486283,958.059693653303,1918.08684357147
1984,5967727.89250415,6131119.19598792,464036.133622525,257052.446961988,46824.9007094939,66316.2844189484,11807.1495190329,2423.45647388516,952.55113710003
1985,7974823.78706277,1531013.35106104,1496820.6363994,169801.451822748,73893.5803476001,13749.1322055245,22164.0861516338,3969.38056559862,1362.1599483425
1986,12651223.0945202,2095335.18418848,365154.337530708,526705.872908919,47937.1560788918,20042.622734053,4373.15541930821,7306.00996441198,1350.60186762131
1987,2068253.3021759,3551945.91785159,508805.092828307,115404.901650607,140586.237942669,12528.9329912311,5763.35277668159,1394.56026361905,4036.46797741794
1988,2182965.95911309,544889.224438445,949180.501831836,154297.399323378,28980.1764148219,36633.6627527777,3823.89886608506,1552.18935246262,2668.62545401079
1989,3331710.30075171,586236.820970573,140741.077741201,334554.436426548,37443.6929407017,7523.00082915398,12217.1703465704,1312.49950532124,1235.58621551284
1990,7883152.13602372,902452.641529454,151518.29381425,48152.5373384113,91337.6621009974,9600.818597809,2374.23642033102,4083.62159869925,684.045224820912
1991,12172281.7801296,2208429.93022838,240154.061808339,46300.2971783906,13106.8221659845,26636.16644267,3151.35597789599,845.449393021565,2164.88708072207
1992,16645721.2683978,3177067.40479302,612615.637927865,76573.6194235787,11194.3655312649,3579.90378893668,8640.65455745305,1004.38747897046,1418.87243660449
1993,5458650.93805147,4245530.12672951,784644.041556661,216884.89012479,23230.0229116938,3649.55497382222,1112.61957062689,3362.09834528392,1471.33974620576
1994,18014805.0677007,1423361.09529293,1017762.14501115,225106.033287126,58103.3796820834,7068.8243633122,1341.69526593534,355.487152241354,2347.75279163502
1995,7732878.80872012,5178179.24782312,390704.267690912,334496.699524563,60268.788676761,17868.6169024994,2738.11436590927,568.172117117975,1561.54148358392
1996,8352529.86479475,1909507.93430555,1380398.55375136,152823.152561473,106818.05044132,20205.3066507721,6951.56440912791,1275.15035757447,531.597027776079
1997,3918301.49492178,2360477.54022014,499168.868190512,506688.039706627,47447.7303957357,32310.7711585268,7255.67226246843,2986.40164286192,572.869133962817
1998,3125459.57433259,1087311.02659032,603556.957873202,182847.164896944,169255.613936563,16785.2622295178,11913.4754549089,3317.5985731741,1524.43778447365
1999,36390172.9790457,839335.100545028,291284.904800797,201490.235853262,58934.1787848558,53248.3606648967,6195.15205085093,5264.50469437199,2226.97232094954
2000,8706721.4185241,10559881.3309473,233639.89785345,96464.1961609323,51626.5070790148,17363.1298638358,16180.4635220808,2536.14794088674,1735.05671823985
2001,1297495.77018774,2437156.23974637,2757296.0989029,88613.1389894164,29467.728431732,15498.8803635778,6967.03284607353,6649.22953143892,1792.54533162124
2002,1559523.09368575,384067.657707458,675846.914454882,1141820.80830565,30210.4653844845,11563.565078837,6685.07400273362,3967.08220631797,3356.96107175237
2003,1136921.25478357,433499.133480766,112042.286631464,317944.796456445,486557.109591501,11736.7118098991,5194.21417231838,3564.19600585639,2755.60651266954
2004,1113677.76259377,332079.489114899,128508.750054822,56584.5790486684,164995.610266208,251197.260121013,5998.0180732789,3055.88347581385,2108.81581810982
2005,4611224.8633307,317763.173722441,97405.1887718211,60230.9332324547,28436.5285191866,81734.4527151375,129950.019391409,3719.06399457249,2045.54939690667
2006,1424467.929078,1487223.08486413,93533.3588894964,47367.965930507,27655.2509297636,14582.7727095931,40202.9227620773,74596.1894582687,2789.55066036362
2007,1038389.65400533,421131.435119039,509287.144364308,42820.7894273358,20903.3945368913,11933.7716093674,6878.55053126882,21755.8773774326,27995.4462426759
2008,822127.08251286,311406.329708615,129292.346694806,257724.942379016,18109.3967560053,8781.35777594723,5700.7803878949,3823.67192011762,17911.2913402481
2009,4116082.0142381,251169.950901379,94147.1105116922,67543.0063623105,142241.137391482,8457.15870684266,4395.93018996027,3482.90488200226,6577.9526934724
2010,499119.570411032,1412478.90480569,83076.1300961539,54270.3146264806,38122.5321461545,83374.6288372447,4687.25200519145,2727.57084591829,3960.55962284965
2011,329438.523327979,161230.01965166,467605.752852164,47611.9378997653,30399.0882431447,21707.7891912499,51645.0985384301,2746.9583835956,2641.95905722597
2012,600031.762658635,104660.412088879,52433.8407611284,274696.682742262,24494.4891094712,17074.5408422827,12287.4342261744,32173.2874492689,2400.77699277537
2013,657115.845990584,200585.633829776,31772.0760912723,30563.2105913146,163959.605325998,12314.8804189133,9463.67990676815,7162.82641848498,17435.3474322536
2014,4126646.74253315,217702.87619787,62208.1656016735,16215.1947475341,19709.3399296779,95604.4657439726,6421.21505804408,5698.75955745176,10115.6802752188
2015,1214108.14614653,1396819.55593866,66585.6709782879,31049.6716296531,7538.2465710363,10745.3054212087,53326.5339833682,3900.72144785729,6375.48761824117
2016,1426828.33126788,423464.050005454,402746.542965036,29519.4081058167,12930.2650304131,3183.17717412287,4559.79516575123,31349.2312985114,2544.04157179011
2017,662495.894323509,521031.72513515,133213.56195823,198621.866419297,12797.2089944333,5584.65987054934,1406.05613536957,2811.47880068284,11751.4869102328
2018,1980231.41633092,241559.44598954,155157.121249013,61573.0688276452,101423.277303046,5192.78883823113,2565.99290880343,779.412069447485,4585.53407575109
2019,6810487.00121311,772721.073231106,75023.0648922595,77670.4977478013,26807.8100474856,52418.9329206149,2255.81336893902,1300.88555750048,1308.37987451344
2020,7955651.95494617,2846045.35913621,222786.878526982,40430.8845865896,41759.6929435831,12606.3517059225,29698.0711905222,1163.32145337444,1029.65691146234
2021,2499030.92066419,3476044.01355198,989208.724614471,103403.188491071,23094.652852242,23772.1724078844,6357.22547083863,20124.8576099503,751.943618514421
2022,2499030.92066419,1045389.88276475,1267583.09850362,618464.973305538,55647.3572925617,14784.2566410537,13934.065371613,3937.13345182894,11065.8465456139
