Year,0,1,2,3,4,5,6,7,8
1972,126553.4354,589884.6803,333670.3471,22031.07472,18929.87068,210272.9976,6680.954411,555.115896,1255.807135
1973,555773.15,159967.5852,371813.5844,151675.1255,8048.682965,6174.085035,73539.90974,2239.94657,816.8894529
1974,654900.9419,471645.7018,86428.28325,177121.6694,57022.91913,3412.168224,2681.410843,31063.65483,930.9440505
1975,56213.18901,773643.5989,263638.3738,39587.52795,64261.71181,20271.03476,1548.756769,1124.202172,8362.119766
1976,43118.38569,84532.62146,519074.2067,124681.0589,13095.42256,22475.24459,8104.835126,688.4143202,3107.824454
1977,82553.00615,85185.53377,46267.35778,250812.5066,42630.94304,4298.567165,8964.120949,3062.696279,1303.584184
1978,72191.5117,115335.2457,58442.17903,23090.053,82753.54907,13013.04647,1671.553807,3178.716678,1751.814356
1979,114691.1217,181845.7157,103989.1059,29489.70156,8636.292515,35581.09372,4834.678044,781.8958135,1629.723091
1980,38556.43292,253586.882,185731.2226,58053.47481,12268.41898,3901.919837,15544.11895,2029.36975,937.9233942
1981,50529.26786,46638.12654,295044.9055,116299.0365,25987.94933,5342.550061,1716.529897,7200.959746,805.9037768
1982,30282.49192,99141.61301,78446.16682,213569.6968,66099.12042,14069.72481,2723.645479,975.8439033,2777.762313
1983,90087.57832,101630.0087,148685.5955,51635.51968,105998.9848,26936.48953,6481.966743,908.5291576,1636.359608
1984,23837.50546,347012.2379,91410.8293,94346.06667,25420.3859,40477.86212,10754.21132,2351.018178,1061.173375
1985,31658.4304,91898.04479,282161.334,62829.04505,41691.33431,10025.91105,17234.45632,4368.652059,1426.301348
1986,114339.7294,103996.3414,61478.35783,165271.6108,24485.96299,15032.2578,4508.85576,6505.98318,1385.908498
1987,8339.030747,181458.1338,85487.03167,36735.66901,68020.99924,10391.01889,6035.745256,1509.21529,3576.861242
1988,36664.95056,36291.90327,141788.4514,49629.91868,14359.50807,22212.98027,3869.871831,1791.111402,1881.782644
1989,50174.50014,46883.68393,25870.19309,95907.92067,18625.46057,4982.464719,9449.88848,1346.559167,1069.85986
1990,125749.5862,68877.09661,30054.25298,16456.25825,38722.84223,6593.089014,2001.004743,3879.392245,761.5896395
1991,142274.5339,156102.7455,47964.67733,16492.47646,6715.634691,14689.45251,2604.762587,783.8465863,2157.63234
1992,130776.1972,127041.991,119458.6329,28650.40009,6642.49761,2892.045593,6529.433727,1143.860056,1688.650603
1993,21724.84727,184475.3858,139047.1504,77016.02539,13557.79004,2719.531909,998.0796156,2823.19409,1454.214279
1994,124884.4699,69634.20606,161476.5617,76640.62733,29143.7676,5305.347388,1405.172448,378.4082105,2001.858081
1995,37752.32883,220065.6492,72977.60968,96496.67202,29443.24338,11830.00454,2479.785145,630.5183373,1352.367804
1996,74016.00365,95723.24194,212918.8589,46108.36601,43121.00102,12915.01575,4929.6479,860.1034993,551.0164048
1997,46615.49338,129818.8206,88925.48313,143160.4275,24041.30254,17606.09219,5722.529222,2425.640017,557.3561295
1998,34220.66711,66813.71964,97603.01569,57037.92582,63074.68679,9852.992086,7829.86465,2866.03966,1141.34307
