Year,Age,Weight,Source
2023,0,0.018,WGNSSK 2023
2024,0,0.018,WGNSSK 2023
2025,0,0.018,WGNSSK 2023
2023,1,0.054,WGNSSK 2023
2024,1,0.054,WGNSSK 2023
2025,1,0.054,WGNSSK 2023
2023,2,0.207,WGNSSK 2023
2024,2,0.207,WGNSSK 2023
2025,2,0.207,WGNSSK 2023
2023,3,0.345,WGNSSK 2023
2024,3,0.344,WGNSSK 2023
2025,3,0.344,WGNSSK 2023
2023,4,0.37,WGNSSK 2023
2024,4,0.467,WGNSSK 2023
2025,4,0.466,WGNSSK 2023
2023,5,0.518,WGNSSK 2023
2024,5,0.41,WGNSSK 2023
2025,5,0.597,WGNSSK 2023
2023,6,0.58,WGNSSK 2023
2024,6,0.56,WGNSSK 2023
2025,6,0.431,WGNSSK 2023
2023,7,0.668,WGNSSK 2023
2024,7,0.61,WGNSSK 2023
2025,7,0.588,WGNSSK 2023
2023,8,0.636,WGNSSK 2023
2024,8,0.573,WGNSSK 2023
2025,8,0.532,WGNSSK 2023
2022,0,0.018,WGNSSK 2022
2023,0,0.018,WGNSSK 2022
2024,0,0.018,WGNSSK 2022
2022,1,0.057,WGNSSK 2022
2023,1,0.057,WGNSSK 2022
2024,1,0.057,WGNSSK 2022
2022,2,0.211,WGNSSK 2022
2023,2,0.211,WGNSSK 2022
2024,2,0.211,WGNSSK 2022
2022,3,0.373,WGNSSK 2022
2023,3,0.369,WGNSSK 2022
2024,3,0.369,WGNSSK 2022
2022,4,0.485,WGNSSK 2022
2023,4,0.486,WGNSSK 2022
2024,4,0.482,WGNSSK 2022
2022,5,0.502,WGNSSK 2022
2023,5,0.581,WGNSSK 2022
2024,5,0.582,WGNSSK 2022
2022,6,0.592,WGNSSK 2022
2023,6,0.535,WGNSSK 2022
2024,6,0.668,WGNSSK 2022
2022,7,0.756,WGNSSK 2022
2023,7,0.636,WGNSSK 2022
2024,7,0.555,WGNSSK 2022
2022,8,0.907,WGNSSK 2022
2023,8,0.778,WGNSSK 2022
2024,8,0.611,WGNSSK 2022
