Year,0,1,2,3,4,5,6,7,8
1972,126784.263,585293.9697,333182.5928,22074.98767,18952.07911,211112.4512,6708.138695,557.1046445,1257.293
1973,555304.606,159937.6774,369043.9596,151381.5361,8016.372083,6169.673215,73646.86957,2251.524637,828.0782861
1974,645580.2321,472475.3453,86108.94531,177422.4244,57115.57917,3417.589447,2681.84241,31234.89065,939.5232048
1975,56398.04866,765513.4718,264262.481,39445.82079,65078.46846,20433.07745,1561.716548,1132.465154,8392.716632
1976,43349.17502,84578.31436,513590.1,124404.3911,12982.127,22703.07674,8108.135971,689.6507442,3118.429617
1977,82237.09679,85561.17332,46105.89628,249302.7767,42637.79966,4301.262826,9013.996202,3073.202049,1313.527725
1978,72183.03705,114837.8081,58552.15409,22976.4837,83366.83046,13073.77663,1678.790554,3215.215854,1775.617703
1979,114695.1479,181787.9307,103417.479,29458.88699,8611.921502,35972.44689,4827.503422,786.1866946,1647.902322
1980,38355.17888,253929.1827,185953.4942,57544.55954,12285.23171,3905.718653,15742.12022,2037.157125,955.6093479
1981,49488.51008,46185.70988,296233.9668,116494.1474,25698.28409,5342.942301,1727.482092,7370.287209,827.5989268
1982,29771.62036,96951.55856,77362.59164,217435.4327,66985.49198,14033.95808,2759.990421,1014.619791,2847.464807
1983,88006.16972,99492.59061,144887.0128,51036.00999,109325.7431,27413.46241,6527.517245,939.6665202,1672.039786
1984,23401.54761,339566.5516,89776.04148,91830.73559,25640.84686,41735.5187,10878.06536,2396.238752,1090.581375
1985,31358.08612,89916.79313,277004.6637,62778.3716,41847.78199,10091.77899,17548.26669,4451.454911,1459.963022
1986,112490.0421,102923.3666,60309.80472,163778.1095,25009.59888,15213.18723,4516.440814,6673.44392,1426.842786
1987,8226.681868,179265.108,84457.26535,36133.05849,68763.14352,10581.71122,6106.930841,1529.619811,3662.868023
1988,36413.77795,35733.64354,140342.4167,48942.08018,14376.69484,22411.37786,3903.125402,1826.607028,1930.317596
1989,49178.962,46558.66014,25384.75071,95103.06996,18648.04284,5010.203243,9549.770244,1380.851278,1132.997088
1990,124332.3413,67467.27888,29838.7634,16116.54091,38852.80191,6571.899958,2008.144427,3956.520592,800.4022391
1991,144946.6317,154631.4369,46837.72999,16309.53134,6675.349062,14851.96543,2599.903807,804.4722607,2283.232416
1992,132002.7215,128854.0103,118528.7666,27798.07831,6601.128552,2880.69651,6659.223575,1164.310736,1789.971137
1993,21807.86866,184675.8297,139208.2764,77159.96682,13551.40549,2759.94553,1002.837375,2995.6483,1472.885025
1994,125235.5543,69698.1798,159581.4372,75128.90342,29259.46333,5330.040229,1381.055572,385.3722948,2087.072579
1995,38231.43912,221930.5989,72602.94317,95288.49823,29122.38952,11851.44558,2538.53153,630.0148967,1407.644996
1996,74465.02691,96090.80201,213459.4009,46129.4018,43715.33711,12989.51244,5012.512186,897.7702986,568.4797767
1997,47457.59345,131214.1164,88375.55482,142743.5955,23889.1228,17664.67547,5685.66984,2493.166089,577.9285106
1998,34908.10807,68264.14913,98289.52761,56924.10171,63939.23962,9928.896137,7893.7526,2872.349101,1174.819272
1999,365367.0587,57212.56246,47008.13546,56258.43953,24210.49131,23750.91982,3965.939629,3500.763918,1277.048247
2000,183431.4599,521167.9896,38967.11859,26953.419,20707.31054,9117.118964,9008.032696,2190.982278,1168.315161
2001,15666.47993,110405.3493,389636.9422,23038.27772,11729.55314,8789.933856,4349.699572,5188.562888,1742.102745
2002,11002.98585,17047.01107,111728.5569,279627.3103,13882.78944,7213.50868,4725.832112,2681.716896,3197.431511
2003,11594.65466,14438.43697,15981.21811,83537.28615,164622.237,6990.797576,3398.952521,3273.961834,2569.358898
2004,18155.83817,18979.76233,19666.5715,16929.32541,56968.6029,94939.67627,3513.135949,2378.523963,1970.115946
2005,100858.5182,21048.54112,17257.23395,17116.10758,11836.31181,34274.157,56509.18615,2894.628563,1604.168986
2006,24556.37422,75364.69786,17360.94021,13191.05393,10095.93743,6377.959156,18290.1487,33090.68852,2362.501049
2007,17911.02551,27298.63685,73805.36711,13897.02898,8372.886202,5478.153205,3826.523765,12450.92334,13131.226
2008,11771.30538,18025.95706,21103.55386,71502.50666,8780.929172,4837.756058,3660.428594,2637.756445,9521.566363
2009,84074.40501,16456.5645,18733.61346,17507.17958,44481.03288,4632.750185,2813.154232,2098.088027,3942.725737
2010,6597.080483,60818.27506,16759.99568,17994.25115,14558.32938,33114.03532,2877.950161,2022.804587,3389.115997
2011,5517.578126,10337.89788,81450.56515,17393.11543,13626.68598,9987.954692,23570.54835,1642.357441,1957.626404
2012,8835.573302,7103.995544,15014.71649,88715.59372,12072.6661,10269.32597,7167.88751,16884.10699,1804.101333
2013,9743.039285,14525.50429,8977.744669,14538.2157,65385.27098,7765.94224,6881.757064,4698.035673,8313.119401
2014,73939.18392,13148.00666,18167.45404,7776.553073,10971.7643,43396.15119,4270.413357,3936.856033,5178.767885
2015,16483.78239,86579.89277,19023.18215,14225.09613,4976.320776,6632.920048,28492.96915,2218.812591,3065.946351
2016,28265.18086,28632.33298,97735.05405,15536.39517,8285.305846,2430.759655,4028.551834,19113.99308,1557.010291
2017,11101.72991,32521.27236,30134.49029,71588.6174,8791.610018,4638.6062,1615.524227,2470.31503,6776.472132
2018,35558.19073,14030.22291,36319.84543,24745.50383,44767.38284,4692.632926,2265.25379,742.7042452,2473.069999
2019,134881.717,47090.12874,15372.25768,28207.63596,13819.69372,25883.59707,1992.831832,1045.765815,1201.191575
2020,134936.7093,151467.5181,55365.44595,15994.28771,19728.97175,8929.429867,15455.32543,1594.870323,1565.310046
2021,48793.63781,210888.6665,210206.28,38262.55364,9892.166956,11338.36709,3899.624481,11607.60977,504.5545788
2022,86364.24586,57638.6612,231597.3448,199408.3792,29359.38923,8647.094607,8847.848637,2573.718022,4790.297775
2023,26000.874,102789.216,75521.259,245639.655,162864.75,21178.43,6027.36,6510.996,6489.744
2024,26000.874,31692.924,127309.761,71961.704,217548.214,121226.75,15522.64,4618.31,8584.113
2025,26000.874,31887.27,39372.435,112944.832,54912.042,155958.489,71664.956,10462.284,7924.672
