Year,0,1,2,3,4,5,6,7,8
1972,12678426.3017143,12453063.1840811,2149565.11494358,73338.8294703878,44698.299793973,418044.457743774,7966.91056448548,486.979584385105,1182.77798665405
1973,32664976.8232127,3332034.94648364,2412052.02385188,522005.2968319,16460.7229639791,11684.9871494774,133176.979336071,2602.91865535661,794.700850357453
1974,64558023.2115025,9086064.33269597,593854.795275115,667001.595539611,126642.082406964,4562.86975606274,3798.64363999855,43685.1617539459,996.313048605607
1975,6266449.85058538,18226511.2333348,1715990.13607563,142403.685180321,174942.119511518,34868.7328432819,1538.63699310529,1268.15806720644,12415.2612900584
1976,7224862.50316346,1626506.04529119,3566597.91660802,401304.48744258,30546.1811816828,45497.1477681323,10381.736198875,454.914738902387,3821.60492249944
1977,10279637.0992611,1901359.40714651,301345.727342557,937228.484012582,86486.409042158,8130.93161755136,13433.6754121606,3194.59672428423,1320.12836675576
1978,18045759.2626819,2734233.525971,359215.669294231,73879.3688179607,233520.533503933,21397.3430982693,2509.40292005617,4208.39771505886,1955.52610473702
1979,28673786.9738917,4783892.91308206,562051.516461798,89813.6798607084,16754.711093774,62236.0672898393,6079.9791205679,764.029829507567,1851.57564273222
1980,7671035.77578086,7694823.71853732,1050584.71271931,157656.327512676,21036.3556723602,4589.56363470426,20312.4131864118,1943.85221811563,914.458706131845
1981,12372127.5204514,1924404.57836721,1752863.7088952,332840.421260865,42059.3847563271,5858.48936513184,1657.85229598674,7437.22220870816,817.785500763901
1982,7442905.09010694,3231718.6185189,420448.867600566,654926.001966007,104828.625952751,14649.2255542974,2286.65320722302,775.703204063392,2978.51967265714
1983,22001542.4307026,1877218.69072231,743010.32223034,150548.702036106,212282.996308666,35100.4640302519,6318.9905563321,952.043080255354,1713.15551854712
1984,5850386.90152955,5957307.92356165,460389.956323493,253676.065175613,47220.712449475,65621.8847516107,11836.8502280089,2398.63738947291,940.156357866284
1985,7839521.52945168,1498613.21888831,1457919.28240594,171525.60547316,76644.2893620225,13996.9195424112,22017.9004891796,3995.92002767184,1259.67473836974
1986,12498893.561991,2058467.33297643,358986.932847403,513411.001489052,49523.9581826741,20754.6892671681,4432.22847349165,7333.45485694374,1374.60769369236
1987,2056670.46701923,3515002.11831422,499747.132225788,113625.970098256,137526.287035782,12567.3529939534,5894.7208893405,1395.63851406965,4355.37220356635
1988,2141986.93809449,541418.841503019,941895.414243478,151523.468063525,29400.1939373503,35461.0409185456,3804.21579097081,1616.46639608954,2658.83966330639
1989,3278597.46672359,574798.273323194,140247.241501746,330218.992923466,37521.2129510419,7534.14021534132,11967.1306310137,1322.65448055187,1363.41406518276
1990,7770771.33179758,887727.353695645,148451.559217814,48543.7979314814,91203.7603566329,9566.08436372683,2365.30556800449,4049.66283725155,721.083098289587
1991,12078885.9757699,2177907.56138364,236554.191856418,45684.9617317957,13820.598472199,26712.1680401614,3178.36651207501,854.004523018708,2562.55041072192
1992,16500340.1916111,3142780.73904025,604738.604923126,75951.0336232487,10929.0207810889,3614.42473044989,8648.34230501154,1015.97795453364,1631.69656973835
1993,5451967.16397787,4197177.94841351,769106.499263788,216134.360852202,24373.0314607881,3641.08908930665,1116.74540622114,3404.1457959549,1424.45360257111
1994,17890793.4725137,1422411.83264643,1003656.83747513,219675.156213029,58054.4907429127,7291.43670139447,1305.3455313541,364.935885222002,2311.26531421746
1995,7646287.82370133,5161176.71879804,390338.404114156,328581.028366872,59554.9887853725,17715.1652865774,2814.33650792042,535.726953001496,1638.70197485531
1996,8273891.87925005,1884133.37266012,1377157.42508648,153764.672681036,107145.434098668,20138.7789710557,6942.5376540373,1312.52967637411,559.527339320691
