Year,Age,N,Source,Type
2021,0,2710757.656,WGNSSK 2023,Data
2021,1,3457191.254,WGNSSK 2023,Data
2021,2,1051031.4,WGNSSK 2023,Data
2021,3,109321.5818,WGNSSK 2023,Data
2021,4,22793.01142,WGNSSK 2023,Data
2021,5,22952.16011,WGNSSK 2023,Data
2021,6,6219.49678,WGNSSK 2023,Data
2021,7,20293.02407,WGNSSK 2023,Data
2021,8,711.6425654,WGNSSK 2023,Data
2022,0,4545486.624,WGNSSK 2023,Data
2022,1,1130169.827,WGNSSK 2023,Data
2022,2,1245147.015,WGNSSK 2023,Data
2022,3,680574.6731,WGNSSK 2023,Data
2022,4,61679.38914,WGNSSK 2023,Data
2022,5,15496.58532,WGNSSK 2023,Data
2022,6,13487.57414,WGNSSK 2023,Data
2022,7,3812.915589,WGNSSK 2023,Data
2022,8,10235.67901,WGNSSK 2023,Data
2021,0,2468159.776,WGNSSK 2022,Data
2021,1,3140322.439,WGNSSK 2022,Data
2021,2,941992.4231,WGNSSK 2022,Data
2021,3,102488.9236,WGNSSK 2022,Data
2021,4,21689.8369,WGNSSK 2022,Data
2021,5,23085.05202,WGNSSK 2022,Data
2021,6,6373.626035,WGNSSK 2022,Data
2021,7,19652.17331,WGNSSK 2022,Data
2021,8,740.8343666,WGNSSK 2022,Data
2023,0,1444493,WGNSSK 2023,Intermediate year
2023,1,1903504,WGNSSK 2023,Intermediate year
2023,2,364837,WGNSSK 2023,Intermediate year
2023,3,711999,WGNSSK 2023,Intermediate year
2023,4,440175,WGNSSK 2023,Intermediate year
2023,5,40885,WGNSSK 2023,Intermediate year
2023,6,10392,WGNSSK 2023,Intermediate year
2023,7,9747,WGNSSK 2023,Intermediate year
2023,8,10204,WGNSSK 2023,Intermediate year
2022,0,1608819,WGNSSK 2022,Intermediate year
2022,1,1021180,WGNSSK 2022,Intermediate year
2022,2,997315,WGNSSK 2022,Intermediate year
2022,3,501808,WGNSSK 2022,Intermediate year
2022,4,59779,WGNSSK 2022,Intermediate year
2022,5,12472,WGNSSK 2022,Intermediate year
2022,6,13504,WGNSSK 2022,Intermediate year
2022,7,4230,WGNSSK 2022,Intermediate year
2022,8,13327,WGNSSK 2022,Intermediate year
2024,0,1444493,WGNSSK 2023,Advice year
2024,1,586906,WGNSSK 2023,Advice year
2024,2,615023,WGNSSK 2023,Advice year
2024,3,209191,WGNSSK 2023,Advice year
2024,4,465842,WGNSSK 2023,Advice year
2024,5,295675,WGNSSK 2023,Advice year
2024,6,27719,WGNSSK 2023,Advice year
2024,7,7571,WGNSSK 2023,Advice year
2024,8,14981,WGNSSK 2023,Advice year
2023,0,1608819,WGNSSK 2022,Advice year
2023,1,532156,WGNSSK 2022,Advice year
2023,2,328871,WGNSSK 2022,Advice year
2023,3,567430,WGNSSK 2022,Advice year
2023,4,320666,WGNSSK 2022,Advice year
2023,5,39896,WGNSSK 2022,Advice year
2023,6,8548,WGNSSK 2022,Advice year
2023,7,9900,WGNSSK 2022,Advice year
2023,8,13028,WGNSSK 2022,Advice year
