Number at Age

	Season	Q1		Q2		Q3		Q4
	Sex	Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number
	0	0.000		0.000		17.152		0.000
	1	0.000		0.000		781.153		0.000
	2	0.000		0.000		9692.326		0.000
	3	0.000		0.000		4037.307		0.000
	4	0.000		0.000		3453.443		0.000
	5	0.000		0.000		367.655		0.000
	6	0.000		0.000		656.723		0.000
	7	0.000		0.000		68.314		0.000
	8	0.000		0.000		15.317		0.000
	9	0.000		0.000		46.373		0.000
	10	0.000		0.000		57.283		0.000
	11	0.000		0.000		44.399		0.000
	12	0.000		0.000		21.133		0.000
	13	0.000		0.000		5.106		0.000
	14	0.000		0.000		5.106		0.000
	15	0.000		0.000		10.922		0.000
	170	0.000		0.000		30.920		0.000
	180	0.000		0.000		218.817		0.000
	190	0.000		0.000		541.589		0.000
	200	0.000		0.000		1993.857		0.000
	210	0.000		0.000		4248.251		0.000
	220	0.000		0.000		3604.934		0.000
	230	0.000		0.000		2065.075		0.000
	240	0.000		0.000		2843.197		0.000
	250	0.000		0.000		1741.583		0.000
	260	0.000		0.000		981.079		0.000
	270	0.000		0.000		359.030		0.000
	280	0.000		0.000		300.418		0.000
	290	0.000		0.000		48.759		0.000
	300	0.000		0.000		63.886		0.000
	310	0.000		0.000		113.528		0.000
	320	0.000		0.000		48.794		0.000
	330	0.000		0.000		37.872		0.000
	340	0.000		0.000		16.738		0.000
	350	0.000		0.000		16.028		0.000
	380	0.000		0.000		5.816		0.000
