Number at Age

	Season	Q1		Q2		Q3		Q4
	Sex	Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number
	0	4.628		21.167		1634.756		5.408
	1	210.775		963.976		74449.793		246.282
	2	2615.241		11960.743		923751.810		3055.801
	3	1089.370		4982.208		384785.774		1272.884
	4	931.828		4261.695		329139.130		1088.803
	5	99.203		453.702		35040.317		115.915
	6	177.201		810.424		62590.684		207.052
	7	18.433		84.302		6510.844		21.538
	8	4.133		18.902		1459.841		4.829
	9	12.513		57.226		4419.656		14.620
	10	15.456		70.689		5459.476		18.060
	11	11.980		54.790		4231.533		13.998
	12	5.702		26.080		2014.179		6.663
	13	1.378		6.301		486.614		1.610
	14	1.378		6.301		486.614		1.610
	15	2.947		13.478		1040.952		3.444
	170	8.343		38.157		2946.947		9.749
	180	59.042		270.029		20854.868		68.989
	190	146.135		668.343		51617.471		170.752
	200	537.994		2460.505		190029.646		628.624
	210	1146.288		5242.522		404890.334		1339.390
	220	972.705		4448.642		343577.400		1136.565
	230	557.211		2548.390		196817.222		651.078
	240	767.168		3508.626		270978.081		896.404
	250	469.924		2149.187		165985.982		549.087
	260	264.721		1210.693		93504.218		309.315
	270	96.876		443.058		34218.278		113.195
	280	81.060		370.728		28632.075		94.716
	290	13.157		60.171		4647.138		15.373
	300	17.238		78.838		6088.827		20.142
	310	30.633		140.098		10820.056		35.793
	320	13.166		60.214		4650.422		15.384
	330	10.219		46.735		3609.470		11.940
	340	4.516		20.656		1595.290		5.277
	350	4.325		19.779		1527.566		5.053
	380	1.569		7.178		554.338		1.834
