Number at Age

	Season	Q1		Q2		Q3		Q4		Year 2020
	Sex	Undetermined		Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number		Number
	0	13494.565		10405.104		15849.822		62768.058		199.293
	1	614567.374		473867.630		922660.458		2657742.797		9076.184
	2	7625376.779		5879614.465		12903292.540		31521330.341		112614.708
	3	3176325.583		2449134.041		4978467.983		13526462.365		46909.286
	4	2716974.248		2094947.116		4233113.795		11595685.209		40125.396
	5	289250.439		223029.119		631725.906		1053415.965		4271.770
	6	516672.927		398385.247		978335.069		2031745.690		7630.439
	7	53745.649		41441.060		209037.336		104079.019		793.738
	8	12050.681		9291.785		66606.280		3599.689		177.969
	9	36483.333		28130.798		201649.940		10898.026		538.801
	10	45066.824		34749.175		182621.387		79933.068		665.565
	11	34930.411		26933.403		193066.657		10434.149		515.867
	12	16626.627		12820.108		91898.355		4966.581		245.549
	13	4016.894		3097.262		22202.093		1199.896		59.323
	14	4016.894		3097.262		22202.093		1199.896		59.323
	15	8592.840		6625.585		47494.169		2566.788		126.903
	170	24326.431		18757.111		28572.215		113150.951		359.263
	180	172152.543		132739.746		226622.663		776319.488		2542.420
	190	426091.359		328541.525		720278.729		1762083.584		6292.693
	200	1568654.734		1209525.160		2986632.692		6152180.644		23166.540
	210	3342284.498		2577098.135		5888983.954		13582805.135		49360.235
	220	2836159.133		2186845.679		4659849.122		11863308.165		41885.567
	230	1624684.750		1252727.601		2496215.279		6969022.885		23994.014
	240	2236867.030		1724756.183		3241494.286		9790251.832		33034.974
	250	1370179.352		1056488.954		2105158.571		5877358.590		20235.374
	260	771857.642		595147.687		1172266.840		3324492.553		11399.112
	270	282464.683		217796.902		499594.549		1146014.237		4171.555
	280	236351.751		182241.116		400442.546		976517.268		3490.540
	290	38361.150		29578.705		141418.129		82069.796		566.533
	300	50261.988		38754.952		166011.958		126808.967		742.290
	310	89317.284		68868.885		424036.346		96316.520		1319.074
	320	38388.252		29599.603		212178.768		11467.049		566.934
	330	29795.412		22974.017		164684.599		8900.261		440.031
	340	13168.785		10153.909		72786.244		3933.680		194.482
	350	12609.733		9722.847		69696.262		3766.685		186.226
	380	4575.945		3528.323		25292.072		1366.892		67.579
