Number at Age

	Season	Q1		Q2		Q3
	Sex	Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number
	0	1052206.673		61722.424		0.000
	1	299815074.556		170371953.031		529.971
	2	548672144.399		584092883.950		2050414.841
	3	3662831035.450		2857817025.496		22682195.515
	4	3382903508.412		2755674811.763		21810353.894
	5	757204707.457		752532704.167		3159860.094
	6	295342333.581		233383814.370		1783855.024
	7	184776765.747		240695654.076		1017549.480
	8	74978058.079		65390016.706		335915.308
	9	39246928.364		23873141.283		173897.086
	10	101024203.732		6020042.874		2242.987
	11	3387051.990		6304700.944		0.000
	12	1646981.236		96643.035		0.000
	13	2496209.279		59277.003		0.000
	14	4495624.871		263812.008		0.000
	15	399882.063		23476.041		0.000
