"year","quarter","area","division","species","length","catchnumber","prop"
2017,1,"27","27.7.d","hom",17,4510,0.001
2017,1,"27","27.7.d","hom",18,15435,0.004
2017,1,"27","27.7.d","hom",19,37834,0.011
2017,1,"27","27.7.d","hom",20,185132,0.053
2017,1,"27","27.7.d","hom",21,514438,0.147
2017,1,"27","27.7.d","hom",22,644333,0.184
2017,1,"27","27.7.d","hom",23,426858,0.122
2017,1,"27","27.7.d","hom",24,333827,0.095
2017,1,"27","27.7.d","hom",25,363706,0.104
2017,1,"27","27.7.d","hom",26,347206,0.099
2017,1,"27","27.7.d","hom",27,316635,0.09
2017,1,"27","27.7.d","hom",28,162835,0.046
2017,1,"27","27.7.d","hom",29,97956,0.028
2017,1,"27","27.7.d","hom",30,37831,0.011
2017,1,"27","27.7.d","hom",31,18089,0.005
2017,1,"27","27.7.d","hom",32,4510,0.001
