"area","Belgium","Denmark","Faroe Islands","France","Germany","Lithuania","Netherlands","Norway","Sweden","UK"
"27.3.a",0,0,0,0,0,0,0,0,1,0
"27.4.a",0,5,10,0,2,0,1,2504,0,53
"27.4.b",0,58,0,1,1,0,11,40,0,2
"27.4.c",7,2,0,291,0,0,101,0,0,710
"27.7.d",11,45,0,813,943,1254,1975,0,0,2960
