"TAC","catches","utilisation","landings","discards","discard_rate"
NA,1247,NA,1247,NA,NA
NA,3600,NA,3600,NA,NA
NA,3585,NA,3585,NA,NA
NA,2715,NA,2715,NA,NA
NA,4756,NA,4756,NA,NA
NA,2859,NA,2859,NA,NA
NA,3516,NA,3516,NA,NA
NA,6958,NA,6958,NA,NA
NA,3586,NA,3586,NA,NA
NA,1513,NA,1513,NA,NA
NA,688,NA,688,NA,NA
NA,8792,NA,8792,NA,NA
NA,2503,NA,2503,NA,NA
NA,8778,NA,8778,NA,NA
NA,11073,NA,11073,NA,NA
NA,5452,NA,5452,NA,NA
NA,19887,NA,19887,NA,NA
NA,27889,NA,27889,NA,NA
51000,45129.577,0.884893666666667,45125.877,3.7,0.00819861440314408
51000,28330.758,0.555505058823529,28330.758,NA,NA
27264,27264.458,1.00001679870892,27264.458,NA,NA
32028,32028.485,1.00001514299988,32028.485,NA,NA
35435,35435.03611,1.00000101904896,35435.03611,NA,NA
30911,30848.49982,0.997978060237456,30786.447,62.05282,0.201153444615058
34318,34240.05171,0.99772864706568,34162.05171,78,0.227803394284068
41242,41103.39771,0.996639292711314,40964.39771,139,0.338171556961538
35704,35703.591,0.999988544700874,35703.591,NA,NA
46919,45882.83681,0.977915914874571,44847.01661,1035.8202,2.25753303852879
47454,24148.923,0.508891199898849,24146.496,2.427,0.0100501376396786
46505,27618.947,0.593891990108591,27618.947,NA,NA
44180,21377.70817,0.483877504979629,21377.70817,NA,NA
37950,18645.00252,0.491304414229249,18645.00252,NA,NA
31720,13380.14188,0.421820361916772,13372.66518,7.4767,0.05587907861557
15200,12001.87999,0.789597367763158,9997.98703,2003.89296,16.696492230131
15200,15340.54496,1.00924637894737,13813.57366,1526.9713,9.95382695974316
18247,14579.05898,0.798983886666301,13366.21035,1212.84863,8.3191146401412
15179,14773.10535,0.973259460438764,14508.4678,264.63755,1.79134680035298
15179,11631.11464,0.76626356413466,11617.66764,13.447,0.115612307299896
