"","TAC","catches","utilisation","landings","discards","discard_rate"
"2000",51000,45129.577,0.884893666666667,45133.651,3.7,0.00819861440314408
"2001",51000,28330.758,0.555505058823529,28338.532,0,0
"2002",27264,27264.458,1.00001679870892,27272.232,0,0
"2003",32028,32028.485,1.00001514299988,32036.259,0,0
"2004",35435,35435.03611,1.00000101904896,35442.81011,0,0
"2005",30911,30848.49982,0.997978060237456,30794.221,62.05282,0.201153444615058
"2006",34318,34240.05171,0.99772864706568,34169.82571,78,0.227803394284068
"2007",41242,41103.39771,0.996639292711314,40972.17171,139,0.338171556961538
"2008",35704,35703.591,0.999988544700874,35711.365,0,0
"2009",46919,45882.83681,0.977915914874571,44854.79061,1035.8202,2.25753303852879
"2010",47454,24148.923,0.508891199898849,24154.27,2.427,0.0100501376396786
"2011",46505,27618.947,0.593891990108591,27626.721,0,0
"2012",44180,21377.70817,0.483877504979629,21385.48217,0,0
"2013",37950,18645.00252,0.491304414229249,18652.77652,0,0
"2014",31720,13380.14188,0.421820361916772,13380.43918,7.4767,0.05587907861557
"2015",15200,12001.87999,0.789597367763158,10001.14003,2003.89296,16.696492230131
"2016",15200,15340.54496,1.00924637894737,13820.10366,1526.9713,9.95382695974316
"2017",18247,14579.05898,0.798983886666301,13373.98435,1212.84863,8.3191146401412
"2018",15179,14773.10535,0.973259460438764,14515.9888,264.63755,1.79134680035298
"2019",15179,11802.78974,0.77757360432176,11623.78564,185.1221,1.56846054261744
