length_class,27.7.d
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0.000559779
18,0.015794273
19,0.052254888
20,0.133819539
21,0.211327822
22,0.141563249
23,0.122371447
24,0.108693432
25,0.085766656
26,0.062682055
27,0.028852075
28,0.015446389
29,0.013116643
30,0.007738095
31,6.56E-06
32,3.57E-07
33,2.97E-07
34,6.32E-06
35,5.94E-08
36,5.94E-08
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
