"length_class","27.7.d","27.4.a"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1.36849965046963e-05,0
7,0,0
8,0,0
9,0.000189856102077457,0
10,0.000217226095053184,0
11,0.000385943545019799,0
12,0.000562873402724126,0
13,0.00163760208675965,0
14,0.00138062467283417,0
15,2.76613962614552e-07,0
16,7.10095543388048e-07,0
17,0.0122904923070822,0
18,0.0623377919246115,0
19,0.0835254683675258,0
20,0.0988574878056912,0
21,0.188364479042591,0
22,0.106619347977012,0
23,0.108792756755332,0
24,0.116478503358892,0.000513968941591101
25,0.0971023383417502,0
26,0.0675446299798969,0.000624105143360623
27,0.0349374313458079,0.0317559381768787
28,0.0154367487641308,0.0424758618157788
29,0.00307403756912395,0.0499039367573455
30,2.58815560957162e-05,0.100285130389026
31,6.9691812386883e-08,0.16253655910031
32,6.48266064498779e-05,0.142393871532239
33,8.99204903560324e-05,0.15419068247733
34,5.00063747279613e-05,0.121284432859748
35,0,0.0882680470403955
36,1.38006547464173e-05,0.0266162487609677
37,5.18347588523367e-06,0.0106220247928828
38,0,0.00226391081415128
39,0,0.00803994272917508
40,0,0.0303486422653793
41,0,0.0187109169450665
42,0,0.00916577945837463
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
