Number at Age

	Season	Q1		Q2		Q3		Q4
	Sex	Undetermined		Undetermined		Undetermined		Undetermined
	Age	Number		Number		Number		Number
	0	0.000		18154.006		0.000		0.000
	1	0.000		0.960		0.000		0.000
	2	0.000		65.233		0.000		0.000
	3	0.000		577.285		0.000		0.000
	4	0.000		385.185		0.000		0.000
	5	0.000		121.340		0.000		0.000
	6	0.000		32.748		0.000		0.000
	7	0.000		1.108		0.000		0.000
	8	0.000		5.350		0.000		0.000
	9	0.000		0.000		0.000		0.000
	10	0.000		0.000		0.000		0.000
	11	0.000		0.000		0.000		0.000
	13	0.000		0.000		0.000		0.000
