"year","cgfs","ibts","all"
1992,6339.17281376006,2222.50652375578,4280.83966875792
1993,2927.70388643557,791.376975253845,1859.54043084471
1994,3986.17168244768,1199.55327177357,2592.86247711063
1995,3947.33756012271,104.32346377992,2025.83051195131
1996,1232.33404746018,236.984374247431,734.659210853806
1997,1940.08566296234,2377.6614890202,2158.87357599127
1998,874.044853275502,426.052404067018,650.04862867126
1999,2336.08105662353,545.014237489961,1440.54764705675
2000,2349.79420889048,786.832222689517,1568.31321579
2001,1451.35506221524,2888.5841176113,2169.96958991327
2002,1851.83364353852,2925.57542990189,2388.7045367202
2003,2098.15004221324,1476.99822753134,1787.57413487229
2004,1651.93548751567,358.17204599648,1005.05376675607
2005,1285.34952220302,322.935661521738,804.142591862381
2006,878.773271600168,184.269965714885,531.521618657526
2007,1105.33179961502,100.846945203104,603.089372409063
2008,815.05997333076,250.244502830526,532.652238080643
2009,1091.51796663382,292.114929514828,691.816448074325
2010,3589.04992134415,935.427606429694,2262.23876388692
2011,688.819951469105,308.738776040524,498.779363754814
2012,496.986801255663,141.420723444858,319.20376235026
2013,1923.04611795374,193.654814828279,1058.35046639101
2014,2374.25212736035,694.492355235472,1534.37224129791
2015,1995.44652375142,962.113558420133,1478.78004108578
2016,1558.63990986502,4586.5214433799,3072.58067662246
2017,957.860409611309,934.076585200929,945.968497406119
2018,918.689102925291,5576.14256938128,3247.41583615329
2019,1087.45921638191,532.074805620049,809.767011000979
