"year","cgfs","ibts","cgfs_low","ibts_low","cgfs_high","ibts_high","all","all_low","all_high"
"1992",1999.51522078035,751.98284196309,807.399720150625,365.573502072109,4356.431435237,1239.35351216687,1375.74903137172,586.486611111367,2797.89247370193
"1993",452.534983409857,658.536748763967,209.225933326648,349.534968245448,859.76415759577,1093.33254233922,555.535866086912,279.380450786048,976.548349967496
"1994",1685.84084462332,651.164912611825,812.937231721562,293.067808568085,3316.6591948098,1090.09559243747,1168.50287861757,553.002520144823,2203.37739362363
"1995",1811.30056553612,883.612093075131,818.052384633331,249.575703407955,3567.03996730105,1751.05954793768,1347.45632930562,533.814044020643,2659.04975761937
"1996",977.488591284465,1131.70104688204,400.491953254436,583.697828009844,1896.27720688673,1929.48602458678,1054.59481908325,492.09489063214,1912.88161573676
"1997",922.177436316123,329.534423459587,420.922192231843,140.045673168427,1647.01932476963,613.987864636538,625.855929887855,280.483932700135,1130.50359470309
"1998",615.349768736353,197.712035491198,277.783878758324,98.3642266702134,1160.47743818732,328.314283151617,406.530902113776,188.074052714269,744.395860669469
"1999",653.91914323371,239.741867626655,299.75934920124,118.105083191484,1176.97549354354,434.702828831993,446.830505430182,208.932216196362,805.839161187768
"2000",193.182745479552,651.289094030612,91.9227680893364,325.402669602677,318.544341270587,1218.14600764703,422.235919755082,208.662718846007,768.345174458807
"2001",719.308976768498,313.853197647386,364.990724847113,149.150554109005,1280.83342644298,559.086275525022,516.581087207942,257.070639478059,919.959850984
"2002",262.043132826573,587.922343224959,122.616685775464,295.533074991852,437.113507180034,1180.99009763058,424.982738025766,209.074880383658,809.051802405307
"2003",258.994964928678,317.723915243655,115.849835099471,168.823774865921,428.476619978046,712.043954254563,288.359440086167,142.336804982696,570.260287116305
"2004",491.258812043507,210.691317723143,220.193556715126,100.057566558434,909.108705962804,389.327129991318,350.975064883325,160.12556163678,649.217917977061
"2005",913.131700616413,403.373998951414,425.876070019901,177.99382398369,1748.07522332075,765.605603599331,658.252849783913,301.934947001796,1256.84041346004
"2006",1131.99773478164,261.244567768136,553.699476503818,110.282884786809,2225.70971440143,468.137393769676,696.62115127489,331.991180645314,1346.92355408555
"2007",646.57805737058,42.5627473058508,293.037460891037,16.2614272959061,1447.2663567399,75.7029182716013,344.570402338215,154.649444093471,761.48463750575
"2008",167.178520432018,158.27688307733,73.8954262113911,87.8002283288967,306.199023782736,423.288626756859,162.727701754674,80.8478272701439,364.743825269798
"2009",140.227307343709,56.1226664009073,58.1857126922677,25.9871857349506,251.280690655187,138.546670919912,98.1749868723083,42.0864492136092,194.91368078755
"2010",288.977088365413,101.763974194001,111.569639762676,46.7026244387404,554.083069606433,237.659636476104,195.370531279707,79.136132100708,395.871353041268
"2011",338.782647493871,113.621846314864,149.947073872946,50.2767920819782,654.863181625698,274.58073205683,226.202246904367,100.111932977462,464.721956841264
"2012",99.8766450514593,205.240460784149,40.201436841133,131.539417220507,176.684474965817,650.454198731828,152.558552917804,85.8704270308199,413.569336848823
"2013",288.176563678182,81.2689372901714,121.052466015847,33.0547570018586,646.072453273196,201.646150667327,184.722750484177,77.053611508853,423.859301970262
"2014",601.888040571546,47.6859366273715,276.724559181522,16.8327418581242,1373.02488617127,85.9250505402553,324.786988599459,146.778650519823,729.47496835576
"2015",731.796329907414,133.793791735411,298.65228811832,54.212439414757,1461.85071816926,247.377566732307,432.795060821412,176.432363766539,854.614142450785
"2016",689.159846813417,185.859623719688,290.357172309241,90.0870851136289,1322.67399900938,330.841529954226,437.509735266553,190.222128711435,826.757764481801
"2017",118.543247785126,150.198968218189,44.2670969371302,70.2015502324902,211.264892630009,379.39319303388,134.371108001658,57.2343235848102,295.329042831945
"2018",163.960465274999,55.8282679799268,63.4511909552487,26.3258886452045,304.155879025842,119.287837787882,109.894366627463,44.8885398002266,211.721858406862
"2019",156.350721500725,234.143177575669,55.0948876107041,115.689447630187,290.716920345278,555.422119197375,195.246949538197,85.3921676204454,423.069519771326
