"year","cgfs","ibts","cgfs_low","ibts_low","cgfs_high","ibts_high","all","all_low","all_high"
1992,6339.17281376006,2222.50652375578,3095.44689230262,1043.13355672403,13891.6225982762,4144.0303444345,4280.83966875792,2069.29022451332,9017.82647135533
1993,2927.70388643557,791.376975253845,1438.89691472622,399.54521190011,5956.27421910797,1457.73094747748,1859.54043084471,919.221063313167,3707.00258329272
1994,3986.17168244768,1199.55327177357,2081.45251162223,445.384442250022,7898.08846941542,2501.33068693529,2592.86247711063,1263.41847693612,5199.70957817536
1995,3947.33756012271,104.32346377992,2241.05433011474,22.2521890623669,7796.20915331217,211.900573406895,2025.83051195131,1131.65325958855,4004.05486335953
1996,1232.33404746018,236.984374247431,515.443587490094,121.888837289389,2534.86403601626,630.93341121775,734.659210853806,318.666212389741,1582.898723617
1997,1940.08566296234,2377.6614890202,999.036927932992,885.708335548959,3723.4893807997,6176.01665345441,2158.87357599127,942.372631740976,4949.75301712705
1998,874.044853275502,426.052404067018,446.712480147775,197.578769925758,1600.15322496074,902.720365404829,650.04862867126,322.145625036766,1251.43679518279
1999,2336.08105662353,545.014237489961,1306.86253993573,271.692881939076,4029.73465762655,1025.04324743254,1440.54764705675,789.277710937404,2527.38895252955
2000,2349.79420889048,786.832222689517,1197.36429695886,407.631208953007,4317.87032348604,1852.51948127076,1568.31321579,802.497752955936,3085.1949023784
2001,1451.35506221524,2888.5841176113,755.083407838973,1580.87447879611,2378.63618806896,6937.90304917301,2169.96958991327,1167.97894331754,4658.26961862098
2002,1851.83364353852,2925.57542990189,1001.08163987143,1381.03756437988,3251.10362120053,6305.83216224967,2388.7045367202,1191.05960212566,4778.4678917251
2003,2098.15004221324,1476.99822753134,1121.9648809898,763.635027717878,3662.39146752707,2740.97171909979,1787.57413487229,942.799954353836,3201.68159331343
2004,1651.93548751567,358.17204599648,884.543987858984,174.868399281915,2865.03160116596,683.887905513923,1005.05376675607,529.706193570449,1774.45975333994
2005,1285.34952220302,322.935661521738,687.000508659908,164.025606809119,2159.22321225563,758.205867314122,804.142591862381,425.513057734514,1458.71453978488
2006,878.773271600168,184.269965714885,452.093171936784,98.2634833461369,1465.44536834113,451.38074753028,531.521618657526,275.178327641461,958.413057935703
2007,1105.33179961502,100.846945203104,583.815719347411,47.1232305840032,1858.15905784844,209.054324948207,603.089372409063,315.469474965707,1033.60669139832
2008,815.05997333076,250.244502830526,427.662315979786,126.101431519319,1326.1879907791,529.857730275715,532.652238080643,276.881873749552,928.022860527408
2009,1091.51796663382,292.114929514828,589.80736120659,141.47589587785,1928.28836440287,592.322432848869,691.816448074325,365.64162854222,1260.30539862587
2010,3589.04992134415,935.427606429694,1899.80826350165,395.633347555581,6984.08800004136,1988.73126218688,2262.23876388692,1147.72080552862,4486.40963111412
2011,688.819951469105,308.738776040524,358.65065833388,189.059318570135,1128.45480448379,913.544820394906,498.779363754814,273.854988452008,1020.99981243935
2012,496.986801255663,141.420723444858,249.228035720221,88.6797543136307,914.823274416327,438.034828459891,319.20376235026,168.953895016926,676.429051438109
2013,1923.04611795374,193.654814828279,1041.24008725734,78.0697057791434,3719.3540692368,463.460713003676,1058.35046639101,559.654896518241,2091.40739112024
2014,2374.25212736035,694.492355235472,1346.11506605143,292.8244952884,4429.91943963275,1439.87606951333,1534.37224129791,819.469780669917,2934.89775457304
2015,1995.44652375142,962.113558420133,962.850038974553,432.067730710492,3945.46118086377,2219.23448091625,1478.78004108578,697.458884842523,3082.34783089001
2016,1558.63990986502,4586.5214433799,790.440484690961,2325.92380178177,2751.56906143643,9926.01927978247,3072.58067662246,1558.18214323637,6338.79417060945
2017,957.860409611309,934.076585200929,450.783893927675,456.168144373561,1726.71908432214,2202.23422366201,945.968497406119,453.476019150618,1964.47665399207
2018,918.689102925291,5576.14256938128,434.955441069543,2845.13411452768,1590.74437796473,14307.447116972,3247.41583615329,1640.04477779861,7949.09574746837
2019,1087.45921638191,532.074805620049,522.915403271253,236.315144940173,2024.85120513403,1241.77918317585,809.767011000979,379.615274105713,1633.31519415494
