"month","Rectangle","weight"
"Apr","23E4",3.03
"Apr","27E1",41.008
"Apr","27E2",65.076
"Apr","27E3",38.126
"Apr","28D9",6.93
"Apr","28E4",32.753
"Apr","28E5",0.261
"Apr","28E7",1.674
"Apr","28E8",0.739
"Apr","28E9",0.559
"Apr","28F0",0.02
"Apr","28F1",0.001
"Apr","29E5",0.14
"Apr","29E6",0.19
"Apr","29E7",3.243
"Apr","29E9",1.281
"Apr","29F0",8.743
"Apr","29F1",2.313
"Apr","30E4",0.53
"Apr","30F0",2.266
"Apr","30F1",0.32
"Apr","31F1",4.925
"Apr","31F2",1.432
"Apr","32F1",0.1
"Apr","32F2",3.254
"Apr","32F3",0.05
"Apr","33F3",1.473
"Apr","34F3",2.683
"Apr","34F4",0.24
"Apr","35D8",0.021
"Apr","35F2",0.427
"Apr","41E0",3.036
"Aug","28E7",0.025
"Aug","29E7",0.362
"Aug","29F0",12.226
"Aug","29F1",0.797
"Aug","30F0",1.627
"Aug","30F1",1.037
"Aug","31F1",0.115
"Aug","31F2",1.189
"Aug","32F2",1.336
"Aug","32F3",0.952
"Aug","33F2",2.22
"Aug","33F4",0.231
"Aug","34D8",1.056
"Aug","34F1",0.015
"Aug","34F2",1.048
"Aug","34F3",1.59
"Aug","34F4",0.06
"Aug","35F2",0.04
"Aug","35F4",0.615
"Aug","35F7",0.303
"Aug","36F5",0.215
"Aug","36F6",0.004
"Aug","37D9",265.794
"Aug","37F6",0.017
"Aug","37F7",0.046
"Aug","38D9",126.334
"Aug","38F6",0.009
"Aug","39E0",454.173
"Aug","39F7",0.087
"Aug","40F6",0.009
"Aug","40F7",0.281
"Aug","41F6",0.014
"Aug","42F7",0.062
"Aug","43F7",0.185
"Aug","44F4",0.04
"Aug","44F5",0.08
"Aug","45F3",0.054
"Aug","45F4",0.2
"Aug","46E9",0.258
"Aug","46F2",0.06
"Aug","46F3",0.12
"Aug","47E9",0.087
"Aug","48E9",2.862
"Aug","48F0",0.42
"Aug","48F2",0.1
"Aug","49E9",19.29
"Aug","49F0",7.591
"Aug","49F1",25.953
"Aug","50F1",10.477
"Dec","27E9",0.011
"Dec","28E3",0.396
"Dec","28E9",6.619
"Dec","29E3",37.796
"Dec","29E6",0.242
"Dec","29E8",14.212
"Dec","29E9",72.809
"Dec","29F0",20.455
"Dec","29F1",0.745
"Dec","30E4",1022.846
"Dec","30F0",1.512
"Dec","30F1",1.692
"Dec","31E4",414.942
"Dec","31F1",0.307
"Dec","31F2",0.617
"Dec","32F2",1.317
"Dec","37F2",0.015
"Dec","38D9",23.65
"Dec","38E0",154.836
"Dec","39E0",173.756
"Dec","40E0",77.77
"Dec","48E4",18.282
"Feb","27E6",58.864
"Feb","28E5",0.02
"Feb","28E7",7.228
"Feb","28E8",36.507
"Feb","28E9",1.873
"Feb","28F0",0.015
"Feb","29E6",0.001
"Feb","29E7",3.074
"Feb","29E9",10.016
"Feb","29F0",3.168
"Feb","29F1",0.021
"Feb","30E9",0.217
"Feb","30F0",2.098
"Feb","30F1",0.048
"Feb","31F2",0.02
"Feb","31F3",0.001
"Feb","33F2",0.032
"Feb","34D9",34.122
"Feb","35D8",452.926
"Feb","35D9",68.927
"Feb","36D8",252.234
"Feb","36D9",320.323
"Feb","37D8",79.248
"Feb","37D9",259.059
"Feb","38D9",365.348
"Feb","38E0",2639.652
"Feb","39E0",1374.706
"Feb","39E1",445.003
"Feb","40E0",990.837
"Feb","40E1",2198.584
"Feb","40E2",112.789
"Feb","41E0",4.378
"Feb","43E0",98.406
"Feb","46E2",103.774
"Jan","27E9",0.155
"Jan","27F0",0.001
"Jan","28E9",3.513
"Jan","29E7",0.12
"Jan","29E9",15.429
"Jan","29F0",6.541
"Jan","29F1",0.045
"Jan","30E9",0.897
"Jan","30F0",1.557
"Jan","30F1",0.15
"Jan","31F0",0.02
"Jan","32F3",0.05
"Jan","33F2",0.02
"Jan","40E0",118.558
"Jan","40E1",484.968
"Jan","41E0",60.522
"Jan","43E0",26.18
"Jan","45E1",20.328
"Jan","45E2",121.264
"Jan","46E2",82.896
"Jul","28D9",673.508
"Jul","28E7",0.02
"Jul","29D9",519.751
"Jul","29F0",1.682
"Jul","29F1",1.666
"Jul","30D9",1451.237
"Jul","30F0",0.305
"Jul","30F1",0.062
"Jul","31D9",671.071
"Jul","31F1",1.411
