"Quarter","Rectangle","weight"
1,"21E6",0.252
1,"27D8",87.868
1,"27E2",31.668
1,"27E3",140.868
1,"27E4",0.08
1,"27E6",58.864
1,"27E9",0.174
1,"27F0",0.001
1,"28D9",5.733
1,"28E3",465.087
1,"28E4",118.923
1,"28E5",2.744
1,"28E6",1.228
1,"28E7",9.194
1,"28E8",36.508
1,"28E9",5.964
1,"28F0",0.149
1,"29D9",102.014
1,"29E6",0.539
1,"29E7",9.648
1,"29E9",26.948
1,"29F0",17.633
1,"29F1",0.079
1,"30D8",0.946
1,"30E9",1.394
1,"30F0",6.062
1,"30F1",0.612
1,"31D9",0.903
1,"31F0",0.02
1,"31F1",0.078
1,"31F2",0.48
1,"31F3",0.001
1,"32F2",0.88
1,"32F3",0.05
1,"33D8",8.61
1,"33F2",0.052
1,"34D4",0.013
1,"34D9",34.122
1,"35D8",453.366
1,"35D9",68.927
1,"36D8",463.868
1,"36D9",500.229
1,"37D8",225.155
1,"37D9",330.514
1,"38D9",1408.56
1,"38E0",2676.442
1,"39D9",16.319
1,"39E0",1695.367
1,"39E1",445.003
1,"40E0",1109.395
1,"40E1",2683.552
1,"40E2",112.789
1,"41E0",64.9
1,"42E1",3.036
1,"43E0",124.586
1,"45E1",20.328
1,"45E2",121.264
1,"46E2",431.662
2,"23E4",3.03
2,"25E2",6.028
2,"27D8",22.814
2,"27E1",41.008
2,"27E2",65.076
2,"27E3",38.126
2,"28D9",6.93
2,"28E4",32.753
2,"28E5",0.261
2,"28E7",1.674
2,"28E8",0.739
2,"28E9",0.559
2,"28F0",0.02
2,"28F1",0.001
2,"29E5",0.14
2,"29E6",0.19
2,"29E7",3.765
2,"29E9",2.975
2,"29F0",12.23
2,"29F1",3.077
2,"30D8",43.142
2,"30E4",0.53
2,"30E9",0.036
2,"30F0",8.325
2,"30F1",0.34
2,"31F0",0.011
2,"31F1",10.255
2,"31F2",20.382
2,"31F3",1.354
2,"32F1",0.467
2,"32F2",12.082
2,"32F3",11.548
2,"33F2",1.016
2,"33F3",18.217
2,"33F4",0.065
2,"34F2",7.83
2,"34F3",49.07
2,"34F4",6.417
2,"35D8",89.055
2,"35F2",1.667
2,"35F3",2.6
2,"35F4",11.846
2,"35F7",0.112
2,"36F2",0.227
2,"36F3",1.747
2,"36F4",1.216
2,"36F5",0.239
2,"36F6",0.499
2,"36F7",1.139
2,"37F2",0.766
2,"37F6",0.284
2,"37F7",0.28
2,"38E0",0.022
2,"38F7",0.18
2,"39F4",0.006
2,"39F7",0.48
2,"41E0",3.036
2,"42F7",0.008
2,"43F7",0.02
2,"44F4",0.143
2,"44F5",0.017
2,"44F6",0.029
2,"45F3",0.055
2,"46E2",0.065
2,"47E2",0.108
2,"47E3",0.704
2,"48E4",2.684
2,"49E6",0.567
2,"50E7",0.735
3,"28D9",673.508
3,"28E7",1.57
3,"28E9",10.354
3,"28F0",0.099
3,"29D9",519.751
3,"29E7",3.119
3,"29E9",0.946
3,"29F0",20.103
3,"29F1",2.463
3,"30D9",1451.237
3,"30E9",0.44
3,"30F0",2.87
3,"30F1",1.463
3,"31D9",671.071
3,"31F1",1.91
3,"31F2",4.437
3,"31F3",0.341
3,"32D8",1254.672
3,"32D9",161.333
3,"32F2",7.547
3,"32F3",3.366
3,"33D8",2263.345
3,"33F2",2.905
3,"33F3",4.004
3,"33F4",2.454
3,"34D8",503.888
3,"34F1",0.015
3,"34F2",3.266
3,"34F3",6.389
3,"34F4",10.243
3,"35F2",0.04
3,"35F3",3.36
3,"35F4",0.996
3,"35F7",0.303
3,"36D7",7.37
3,"36F3",0.226
3,"36F4",0.006
3,"36F5",0.841
3,"36F6",0.019
3,"36F7",0.045
3,"37D9",523.018
3,"37F0",0.073
3,"37F2",0.14
3,"37F3",0.02
3,"37F6",0.017
3,"37F7",0.226
3,"38D9",185.25
3,"38F3",0.03
3,"38F6",0.009
3,"38F7",0.22
3,"39E0",716.897
3,"39F7",1.264
3,"40E0",102.476
3,"40F6",0.009
3,"40F7",0.281
3,"41F6",0.014
3,"41F7",0.005
3,"42F7",0.062
3,"43E9",0.037
3,"43F7",0.277
3,"44E9",0.132
3,"44F4",0.05
3,"44F5",0.08
3,"45E3",3.465
3,"45E4",13.125
3,"45E9",0.356
3,"45F3",0.062
3,"45F4",0.2
3,"46E4",278.523
3,"46E9",0.421
3,"46F2",0.06
3,"46F3",0.14
3,"47E3",8.001
3,"47E9",2.157
3,"48E9",3.013
3,"48F0",0.42
3,"48F2",0.1
3,"49E9",19.29
3,"49F0",7.591
3,"49F1",25.953
3,"50F1",10.477
4,"25E0",0.008
4,"27E9",0.349
4,"28E3",0.396
4,"28E7",0.803
4,"28E9",65.536
4,"28F0",0.04
4,"29E3",37.796
4,"29E6",0.242
4,"29E7",3.93
4,"29E8",14.212
4,"29E9",1026.128
4,"29F0",345.971
4,"29F1",2.859
4,"30E4",1932.694
4,"30E9",344.273
4,"30F0",3.654
4,"30F1",8.577
4,"31E4",1431.227
4,"31F1",0.508
4,"31F2",2.608
4,"32E3",86.357
4,"32E4",158.885
4,"32F2",7.561
4,"33F2",0.02
4,"33F3",0.02
4,"34F2",0.016
4,"34F3",0.304
4,"35F4",0.27
4,"36D9",0.24
4,"36F2",0.342
4,"36F4",0.12
4,"37F0",0.045
4,"37F1",0.104
4,"37F2",0.195
4,"37F3",0.08
4,"37F4",0.09
4,"38D9",23.65
4,"38E0",400.917
4,"39E0",383.098
4,"39E1",199.264
4,"40E0",582.884
4,"40E1",557.997
4,"41E1",26.417
4,"45E1",0.839
4,"46E9",0.264
4,"48E3",0.04
4,"48E4",18.282
4,"48E9",0.011
4,"48F0",0.341
4,"50F0",1.186
