Fleet;Month;ICESRect;Tonnes
TrawlPlus;1;28E9;2.453
TrawlPlus;2;28E9;0.425
TrawlPlus;3;28E9;0.127
TrawlPlus;6;28E9;0.001
TrawlPlus;11;28E9;0.883
TrawlPlus;12;28E9;0.126
TrawlPlus;6;29E8;0.016
TrawlPlus;1;29E9;1.679
TrawlPlus;2;29E9;0.947
TrawlPlus;3;29E9;1.708
TrawlPlus;12;29E9;0.101
TrawlPlus;1;29F0;0.918
TrawlPlus;2;29F0;2.878
TrawlPlus;3;29F0;2.003
TrawlPlus;4;29F0;0.423
TrawlPlus;5;29F0;0.632
TrawlPlus;8;29F0;0.053
TrawlPlus;9;29F0;0.397
TrawlPlus;10;29F0;1.995
TrawlPlus;11;29F0;0.948
TrawlPlus;12;29F0;0.724
OTB_DEF_100-119_0_0;2;29F1;0.28
TrawlPlus;11;29F1;0.005
TrawlPlus;1;30E9;0.001
TrawlPlus;4;30E9;0.021
TrawlPlus;1;30F0;0.085
TrawlPlus;2;30F0;0.532
TrawlPlus;3;30F0;1.127
TrawlPlus;4;30F0;1.527
TrawlPlus;5;30F0;5.576
TrawlPlus;6;30F0;0.005
TrawlPlus;8;30F0;0.797
TrawlPlus;9;30F0;2.431
TrawlPlus;10;30F0;1.389
TrawlPlus;11;30F0;0.617
TrawlPlus;12;30F0;0.202
TrawlPlus;3;30F1;0.008
TrawlPlus;8;30F1;0.128
TrawlPlus;8;31F1;0.265
TrawlPlus;11;31F1;0.025
TrawlPlus;1;31F2;0
TrawlPlus;2;31F2;0.098
TrawlPlus;4;31F2;0.005
GTR_DEF_all_0_0_all;5;31F2;0.001
TrawlPlus;5;31F2;0.387
TrawlPlus;6;31F2;0.204
GTR_DEF_all_0_0_all;7;31F2;0.007
TrawlPlus;7;31F2;0.058
TrawlPlus;10;31F2;0
TrawlPlus;11;31F2;0.022
TrawlPlus;12;31F2;0.033
TrawlPlus;5;31F3;0.011
TrawlPlus;6;31F3;0.087
TrawlPlus;7;31F3;0.04
TrawlPlus;8;31F3;0.001
TrawlPlus;5;32F1;0.005
TrawlPlus;5;33F3;0.026
TrawlPlus;7;34F2;1.149
TrawlPlus;8;34F2;0.404
TrawlPlus;5;34F3;0.453
TrawlPlus;6;34F3;2.105
TrawlPlus;7;34F3;0.506
TrawlPlus;5;34F4;2.28
TrawlPlus;8;34F4;0.109
TrawlPlus;7;35F4;0.094
TrawlPlus;5;36F2;0.106
TrawlPlus;6;36F2;0.147
TrawlPlus;7;36F2;0.456
TrawlPlus;6;36F4;0.028
TrawlPlus;8;37F0;0.191
TrawlPlus;6;37F2;0.092
TrawlPlus;8;37F2;0.137
TrawlPlus;6;37F3;0.178
TrawlPlus;7;37F3;0.424
TrawlPlus;6;38F2;0.064
TrawlPlus;3;39F6;0
TrawlPlus;3;40F5;0
TrawlPlus;3;41F5;0.001
