"year","cgfs","ibts","all"
1992,6293.6983980601,2238.29157677264,4265.99498741637
1993,2908.52407581648,796.83008096845,1852.67707839246
1994,3956.60173320703,1219.17725714812,2587.88949517757
1995,3922.08752349263,107.404369219733,2014.74594635618
1996,1216.50600883431,242.709116636667,729.607562735486
1997,1927.02837712671,2421.19471544269,2174.1115462847
1998,867.795947298884,432.018303920654,649.907125609769
1999,2323.74468579649,549.946562921816,1436.84562435915
2000,2325.14351967008,806.90006148987,1566.02179057998
2001,1439.31315405389,2944.64827827131,2191.9807161626
2002,1839.11604585454,2959.54675077297,2399.33139831376
2003,2089.38996670512,1485.5349764947,1787.46247159991
2004,1639.38076183939,362.452318949611,1000.9165403945
2005,1272.61618717753,331.379853354755,801.998020266143
2006,870.729324871269,188.426457745902,529.577891308586
2007,1096.09847674661,102.686094314017,599.392285530312
2008,808.584240140809,254.483696581629,531.533968361219
2009,1083.62085921304,297.002166479738,690.311512846391
2010,3557.54130495978,952.894611347816,2255.2179581538
2011,728.761291441902,280.155133730263,504.458212586083
2012,499.565234820674,131.214171079442,315.389702950058
2013,2023.12926007211,146.955324208326,1085.04229214022
2014,2415.87097704911,673.793658729084,1544.8323178891
2015,1993.35544446988,947.092897555787,1470.22417101283
2016,1566.34088716613,4523.89720981712,3045.11904849163
2017,960.366148367222,915.948267045362,938.157207706292
2018,926.176981174354,5427.42811189831,3176.80254653633
2019,1090.02625988756,532.55915835651,811.292709122033
2020,NA,NA,NA
