"year","cgfs","ibts","all"
1992,2045.34879728483,741.572440229999,1393.46061875741
1993,448.780404880009,661.909146813303,555.344775846656
1994,1666.85447154412,659.180914937698,1163.01769324091
1995,1806.183992748,885.327380364507,1345.75568655625
1996,923.775150814067,1167.28239934426,1045.52877507916
1997,896.8877059988,342.411509464177,619.649607731489
1998,605.398045806203,200.882624164173,403.140334985188
1999,661.073969379782,235.597885174765,448.335927277273
2000,191.165325829436,656.75246687877,423.958896354103
2001,723.649702448955,310.351014534103,517.000358491529
2002,255.998810675101,603.618732025113,429.808771350107
2003,237.838298615439,352.688647474533,295.263473044986
2004,475.266099392308,218.456208842989,346.861154117648
2005,892.693122915337,416.242955489686,654.468039202511
2006,1121.87618286365,264.629390322444,693.252786593046
2007,648.76768720874,42.4170537486587,345.592370478699
2008,168.971198234339,155.125380344228,162.048289289283
2009,128.636933706248,65.0239266058359,96.8304301560418
2010,260.792054250649,117.809518829926,189.300786540287
2011,336.387010298508,126.622980850004,231.504995574256
2012,97.1150817560598,216.519532080605,156.817306918332
2013,287.453442167615,83.0134594505061,185.23345080906
2014,624.855042276656,44.5570748205876,334.706058548622
2015,817.515731555924,122.407383464809,469.961557510367
2016,742.714898406225,322.06042482507,532.387661615648
2017,126.646828950238,135.755981994274,131.201405472256
2018,184.848635136216,49.4837586271148,117.166196881665
2019,166.58804046623,228.885046803646,197.736543634938
2020,NA,204.389416775911,204.389416775911
