"year","cgfs","ibts","all"
1992,1994.64975501999,753.097693694429,1373.87372435721
1993,451.343489114375,659.757066800426,555.5502779574
1994,1681.77618337194,652.870512575234,1167.32334797358
1995,1804.28081044159,890.477233297173,1347.37902186938
1996,974.758811970502,1133.35257371161,1054.05569284106
1997,919.412081583536,331.011470316056,625.211775949796
1998,613.098422393907,198.472054351779,405.785238372843
1999,650.15535021263,241.414484598409,445.784917405519
2000,192.154399094061,654.828053622497,423.491226358279
2001,715.580338436071,315.926785238661,515.753561837366
2002,260.493254165932,592.080141008169,426.28669758705
2003,257.086041793008,320.772180057546,288.929110925277
2004,488.249510942411,212.202427947455,350.225969444933
2005,906.872196884968,407.411325620416,657.141761252692
2006,1124.02325171676,263.869470548507,693.946361132633
2007,641.276945730264,43.1263682309612,342.201656980612
2008,165.512375971079,161.321818907817,163.417097439448
2009,138.893376440158,57.2637848168609,98.0785806285094
2010,286.461474088498,103.380131779697,194.920802934098
2011,345.625381567993,120.536590011312,233.080985789652
2012,100.651291440203,203.754969008279,152.203130224241
2013,295.027284504449,80.8925612835255,187.959922893987
2014,605.545464336598,47.1613467288104,326.353405532704
2015,752.359610397185,137.278200892604,444.818905644894
2016,703.871127481703,339.358075356634,521.614601419168
2017,120.080600440396,147.08586444176,133.583232441078
2018,170.419977395319,56.5305024508573,113.475239923088
2019,158.805485422264,243.386969166514,201.096227294389
2020,237.848203738258,214.117682213387,225.982942975822
