"year","cgfs","ibts","cgfs_low","ibts_low","cgfs_high","ibts_high","all","all_low","all_high"
1992,6293.6983980601,2238.29157677264,3055.09156792828,1018.66082823137,14463.1456912473,4249.89221695006,4265.99498741637,2036.87619807983,9356.51895409868
1993,2908.52407581648,796.83008096845,1414.90225200404,374.709985507477,6010.32493488073,1514.49682143826,1852.67707839246,894.806118755757,3762.4108781595
1994,3956.60173320703,1219.17725714812,2054.37701492585,459.677903283569,7654.99949002918,2468.52429905051,2587.88949517757,1257.02745910471,5061.76189453984
1995,3922.08752349263,107.404369219733,2094.89177238211,24.5584369466727,7798.22172217607,221.453322742743,2014.74594635618,1059.72510466439,4009.83752245941
1996,1216.50600883431,242.709116636667,487.351045620272,123.327172522553,2452.939922343,646.210181280095,729.607562735486,305.339109071413,1549.57505181155
1997,1927.02837712671,2421.19471544269,967.788094602746,887.785474586788,3524.00131225265,6155.27499793682,2174.1115462847,927.786784594767,4839.63815509473
1998,867.795947298884,432.018303920654,449.06567783693,181.290853187184,1520.4181351115,983.657895162186,649.907125609769,315.178265512057,1252.03801513684
1999,2323.74468579649,549.946562921816,1261.91674006185,284.144271971363,4239.35689438074,1040.16492296502,1436.84562435915,773.030506016607,2639.76090867288
2000,2325.14351967008,806.90006148987,1139.28061261597,405.082386238795,4220.16047021822,1860.91199986255,1566.02179057998,772.181499427383,3040.53623504038
2001,1439.31315405389,2944.64827827131,751.284101874096,1615.3055948643,2393.12403470905,7199.90502243032,2191.9807161626,1183.2948483692,4796.51452856968
2002,1839.11604585454,2959.54675077297,948.78705645444,1388.75006317248,3186.27724866158,6333.86068730612,2399.33139831376,1168.76855981346,4760.06896798385
2003,2089.38996670512,1485.5349764947,1131.04241482687,752.633976008603,3628.01860372013,2932.40971406787,1787.46247159991,941.838195417734,3280.214158894
2004,1639.38076183939,362.452318949611,839.529201634114,177.311973636957,2957.62405324496,676.183319949774,1000.9165403945,508.420587635536,1816.90368659737
2005,1272.61618717753,331.379853354755,651.051700392025,164.729570082661,2170.41558441853,812.511396526463,801.998020266143,407.890635237343,1491.4634904725
2006,870.729324871269,188.426457745902,468.183815937828,97.1568014379082,1495.55562019855,429.745740238399,529.577891308586,282.670308687868,962.650680218476
2007,1096.09847674661,102.686094314017,583.999786292072,48.1018232370269,1949.9738649673,204.867681220361,599.392285530312,316.05080476455,1077.42077309383
2008,808.584240140809,254.483696581629,433.349720122442,126.975702481485,1449.31339641975,517.488672192603,531.533968361219,280.162711301963,983.401034306177
2009,1083.62085921304,297.002166479738,569.7011791902,135.510667956323,1860.42040648552,644.218694615167,690.311512846391,352.605923573261,1252.31955055034
2010,3557.54130495978,952.894611347816,1901.08277389725,355.604139507603,7215.2657828576,2019.93274729267,2255.2179581538,1128.34345670242,4617.59926507513
2011,728.761291441902,280.155133730263,371.021593570225,146.094893824775,1227.0707667142,735.26338931461,504.458212586083,258.5582436975,981.167078014406
2012,499.565234820674,131.214171079442,248.609895906619,83.8863994476657,845.679671479642,415.528667511218,315.389702950058,166.248147677143,630.60416949543
2013,2023.12926007211,146.955324208326,1118.67181253029,54.822753307859,3852.23713511791,313.612010055275,1085.04229214022,586.747282919074,2082.92457258659
2014,2415.87097704911,673.793658729084,1234.63434603794,308.707358299344,4390.41982227842,1361.07041355404,1544.8323178891,771.670852168641,2875.74511791623
2015,1993.35544446988,947.092897555787,939.07110691316,474.605784464828,3967.35878474623,2297.00040548916,1470.22417101283,706.838445688994,3132.1795951177
2016,1566.34088716613,4523.89720981712,741.737759069982,2267.9046347393,2948.90000809894,9675.57502928567,3045.11904849163,1504.82119690464,6312.23751869231
2017,960.366148367222,915.948267045362,432.824610799676,452.880509856166,1706.18115610909,2112.5907823681,938.157207706292,442.852560327921,1909.38596923859
2018,926.176981174354,5427.42811189831,435.848122832874,2759.97948436687,1627.28592257986,12955.0953903098,3176.80254653633,1597.91380359987,7291.19065644482
2019,1090.02625988756,532.55915835651,486.037573275856,275.4264569865,2028.94321266447,1210.53223199019,811.292709122033,380.732015131178,1619.73772232733
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
