"year","cgfs","ibts","all"
1992,1989.55153414509,753.768207208031,1371.65987067656
1993,451.236597523228,659.759060544829,555.497829034029
1994,1681.28394365293,653.086422398304,1167.18518302562
1995,1803.25297580193,891.709825377736,1347.48140058983
1996,974.807320137824,1133.73261935884,1054.26996974833
1997,918.883397272294,331.269634178957,625.076515725625
1998,612.768615231117,198.603974985703,405.68629510841
1999,649.534137757181,241.696334865672,445.615236311427
2000,192.012014330343,655.384583276644,423.698298803493
2001,715.055746570719,316.262648672878,515.659197621798
2002,260.218828725942,592.887668982965,426.553248854453
2003,256.835502350839,321.36135845233,289.098430401585
2004,487.822788783568,212.441076338909,350.131932561239
2005,905.954989369339,407.862491667881,656.90874051861
2006,1122.98772106657,264.366049474915,693.676885270744
2007,640.440249796919,43.209597005912,341.824923401416
2008,165.267308333899,161.802602100494,163.534955217197
2009,138.706884073324,57.4528058090621,98.0798449411929
2010,286.029456825263,103.598429841018,194.813943333141
2011,345.282078703231,120.912869575842,233.097474139536
2012,100.509805824283,204.387447139552,152.448626481918
2013,294.626144531458,81.1912397358465,187.908692133652
2014,604.777374917589,47.3032204518191,326.040297684704
2015,751.630559200049,137.426024576328,444.528291888189
2016,703.423265035028,339.546461357422,521.484863196225
2017,119.904758551782,147.379146978957,133.64195276537
2018,170.18130767139,56.6197117237691,113.400509697579
2019,158.571015392208,243.720769733845,201.145892563027
2020,NA,NA,NA
