Season;Fleet;CatchCategory;FishingArea;AgeLength;Length;NumberCaught
2;OTB_DEF_70-99_0_0;D;27.7.d;120;12;229.3783784
2;OTB_SPF_70-99_0_0_all;D;27.7.d;130;13;1932.412913
2;OTB_DEF_70-99_0_0;D;27.7.d;140;14;917.5135135
2;OTB_SPF_70-99_0_0_all;D;27.7.d;140;14;7708.67385
2;OTB_DEF_70-99_0_0;D;27.7.d;150;15;1009.264865
2;OTB_SPF_70-99_0_0_all;D;27.7.d;150;15;4990.780797
2;OTM_SPF_32-69_0_0_all;D;27.7.d;150;15;90.64106667
2;OTB_DEF_70-99_0_0;D;27.7.d;160;16;3600.272509
2;OTB_SPF_70-99_0_0_all;D;27.7.d;160;16;10123.37734
2;OTM_SPF_32-69_0_0_all;D;27.7.d;160;16;135.9616
2;OTB_DEF_70-99_0_0;L;27.7.d;170;17;247.9540153
2;OTB_DEF_70-99_0_0;D;27.7.d;170;17;4861.585913
2;OTB_SPF_70-99_0_0_all;D;27.7.d;170;17;19158.24128
2;OTM_SPF_32-69_0_0_all;D;27.7.d;170;17;135.6315642
2;OTB_DEF_70-99_0_0;D;27.7.d;180;18;34886.77043
2;OTB_SPF_70-99_0_0_all;D;27.7.d;180;18;27500.11083
3;OTM_SPF_32-69_0_0_all;D;27.7.d;60;6;650.4048583
3;SSC_DEF_70-99_0_0_all;D;27.7.d;90;9;9023.263625
3;OTM_SPF_32-69_0_0_all;D;27.7.d;100;10;1300.809717
3;SSC_DEF_70-99_0_0_all;D;27.7.d;100;10;9023.263625
3;SSC_DEF_70-99_0_0_all;D;27.7.d;110;11;19816.40225
3;SSC_DEF_70-99_0_0_all;D;27.7.d;120;12;10950.44431
3;SSC_DEF_70-99_0_0_all;D;27.7.d;130;13;19464.02725
3;SSC_DEF_70-99_0_0_all;D;27.7.d;140;14;13377.29828
3;OTB_DEF_70-99_0_0;D;27.7.d;150;15;1387.611262
3;OTM_SPF_32-69_0_0_all;D;27.7.d;150;15;363.381727
3;SSC_DEF_70-99_0_0_all;D;27.7.d;150;15;9041.853968
3;OTB_DEF_70-99_0_0;D;27.7.d;160;16;10993.37367
1;OTB_DEF_70-99_0_0;D;27.7.d;100;10;2056.783861
1;OTB_DEF_70-99_0_0;D;27.7.d;110;11;6170.351582
1;OTB_DEF_70-99_0_0;D;27.7.d;180;18;14691.30731
1;OTB_DEF_70-99_0_0;D;27.7.d;190;19;10326.2494
1;OTB_DEF_70-99_0_0;D;27.7.d;220;22;42820.29682
1;OTB_DEF_70-99_0_0;D;27.7.d;230;23;13706.76453
1;OTB_DEF_70-99_0_0;D;27.7.d;240;24;22287.09671
1;OTB_DEF_70-99_0_0;D;27.7.d;250;25;9269.826812
1;OTB_DEF_70-99_0_0;D;27.7.d;260;26;8416.916168
1;OTB_DEF_70-99_0_0;D;27.7.d;270;27;8874.146047
1;OTB_DEF_70-99_0_0;D;27.7.d;280;28;3890.395771
1;OTB_DEF_70-99_0_0;D;27.7.d;290;29;2376.645771
1;OTB_DEF_70-99_0_0;D;27.7.d;300;30;4753.291542
1;OTB_DEF_70-99_0_0;D;27.7.d;340;34;2376.645771
