"length_class","27.4.c","27.7.d"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0.00209156794769807
18,0.00933928073594417,0.0131586240970622
19,0.0116624848984505,0.0292507597682382
20,0.0210017656343947,0.105076666385097
21,0.239940525975826,0.21632927753028
22,0.210761081678037,0.183872698187827
23,0.220239754665936,0.104606536965918
24,0.126614626905909,0.154468628839483
25,0.0584982808185229,0.0908588218538335
26,0.0703001579863337,0.05162201318299
27,0.0199795558021957,0.0179364522922494
28,0.0116624848984505,0.0156205042051263
29,0,0.0012359616837658
30,0,0.00204948745497489
31,0,0.00137554921585674
32,0,0.0033007973886155
33,0,0.00256194576297759
34,0,0.00113231237291577
35,0,0.00108424250814617
36,0,0
37,0,0
38,0,0.00236715235694491
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
