"","year","Lc","Lmean","Lsq","L95","Lfm","Lopt","Linf","L50","ratio_F_Fmsy"
"1",2016,19.6548060016833,22.8155788976985,22.5368822415918,26.5256764049033,24.7411045012624,26.6666666666667,40,20.5,0.922173013599061
"2",2017,20.1340554840832,23.3870800057068,22.1526675951606,26.6330473500926,25.1005416130624,26.6666666666667,40,20.5,0.931736070329896
"3",2018,19.6950663737904,22.965658452497,22.2063603021915,26.1058436864615,24.7712997803428,26.6666666666667,40,20.5,0.927107525892581
"4",2019,23.625,27.1254310597155,25.8042278645121,30.5684779325207,27.71875,26.6666666666667,40,20.5,0.978595032594019
"5",2020,20.0277564036319,23.2039412819433,22.6628606643382,25.9741274182064,25.0208173027239,26.6666666666667,40,20.5,0.92738542475258
