SD,UKE,2020,Quarter,4,HM-ALL,Div,27.4.c,NA,HOM,NA,L,A,N,age,3,-9,-9,-9,-9,4,100,kg,n,year,NA,NA,711966.8996,0.11128234,-9,-9,-9,-9
SD,UKE,2020,Quarter,4,HM-ALL,Div,27.4.c,NA,HOM,NA,L,A,N,age,4,-9,-9,-9,-9,4,100,kg,n,year,NA,NA,730546.9132,0.133013155,-9,-9,-9,-9
SD,UKE,2020,Quarter,4,HM-ALL,Div,27.4.c,NA,HOM,NA,L,A,N,age,5,-9,-9,-9,-9,4,100,kg,n,year,NA,NA,136787.3413,0.166469555,-9,-9,-9,-9
SD,UKE,2020,Quarter,4,HM-ALL,Div,27.4.c,NA,HOM,NA,L,A,N,age,6,-9,-9,-9,-9,4,100,kg,n,year,NA,NA,177471.1642,0.16218231,-9,-9,-9,-9
SD,UKE,2020,Quarter,4,HM-ALL,Div,27.4.c,NA,HOM,NA,L,A,N,age,7,-9,-9,-9,-9,4,100,kg,n,year,NA,NA,32675.19629,0.191,-9,-9,-9,-9
HI,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,NA,-9,NA,,,,,,,,,,,,,,,,,,,,,
SI,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,NA,H,NA,NA,t,816.624,-9,-9,NA,J.E.BALL,ENG_2020_HM-ALL_HOM,,,,,,,,,
SI,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,B,A,NA,H,NA,NA,t,0,-9,-9,NA,J.E.BALL,ENG_2020_HM-ALL_HOM,,,,,,,,,
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,4,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,80681.66035,0.145,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,5,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,335500.8433,0.165999009,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,6,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,3128008.031,0.183774947,-9,-9,-9,-9
SD,UKE,2020,Quarter,1,HM-ALL,Div,27.6.a,NA,HOM,NA,L,A,N,age,7,-9,-9,-9,-9,3,73,kg,n,year,NA,NA,79659.99689,0.2005,-9,-9,-9,-9
