"Country","Year","Diff.Age.Samples","Diff.Age.Readings"
"Netherlands",2000,0,0
"Netherlands",2001,-27,-675
"Netherlands",2002,12,-400
"Netherlands",2003,-5,-100
"Netherlands",2004,-10,-475
"Netherlands",2005,-3,-75
"Netherlands",2006,1,25
"Netherlands",2007,2,50
"Netherlands",2008,-1,100
"Netherlands",2009,0,0
"Netherlands",2010,0,200
"Netherlands",2011,0,0
"Netherlands",2012,1,25
"Netherlands",2013,0,2
"Netherlands",2014,0,0
"Netherlands",2015,0,0
"Netherlands",2016,0,2
"Netherlands",2017,1,1
"Netherlands",2018,11,275
"Netherlands",2019,2,50
