"Country","Year","Diff.Age.Samples","Diff.Age.Readings"
"Netherlands",2000,-1,-25
"Netherlands",2001,-14,-850
"Netherlands",2002,48,-250
"Netherlands",2003,-14,-350
"Netherlands",2004,2,-425
"Netherlands",2005,4,174
"Netherlands",2006,-1,-25
"Netherlands",2007,1,25
"Netherlands",2008,1,24
"Netherlands",2009,1,25
"Netherlands",2010,-9,-4950
"Netherlands",2011,2,50
"Netherlands",2012,0,0
"Netherlands",2013,0,0
"Netherlands",2014,0,4
"Netherlands",2015,0,1
"Netherlands",2016,0,1
"Netherlands",2017,1,39
"Netherlands",2018,4,122
"Netherlands",2019,0,22
