File created:11/08/2025 17:52:29
WG assessment year:2025
Data year:2025
Stock:whb.27.1-91214,Stock description:Blue whiting (Micromesistius poutassou) in Subareas 1-9, 12, and 14 (Northeast Atlantic and adjacent waters)
Allocation scheme:BW_2025_1S_age,Allocations to preliminary 2025 1S data

LIST OF UNSAMPLED STRATA AND THEIR ALLOCATED SAMPLED STRATA.

YOU CAN USE THIS FILE TO HAVE A MATRIX OVERVIEW OF WHAT SAMPLED STRATA HAVE BEEN ALLOCATED TO WHICH UNSAMPLED STRATA

There are 4 files:
        - 2 specifying what is allocated to the unsampled LANDINGS
            - 1 sorted by Fleet before season 
            - 1 sorted by season before Fleet 
        - 2 specifying what is allocated to the unsampled DISCARDS
            - 1 sorted by Fleet before season
            - 1 sorted by season  before Fleet 

The patterns which visually can be seen in the allocations depend the sorting of the element (season or fleet) in the strata, depending on if the allocations have been primarily done according to season or fleet.


   Explanation on how to use the output, for visual inspection:
     1. Copy all the data into a spreadsheet.
     2. Create a pivot table with the Unsampled as rows and the Sampled as columns.
     3. Copy the pivot table but only with the header row and markers, out the sum row and column and column label.
     4. Paste only values.\n
     5. Select the Sampled row and format cell and select tab Alignment and align the text horizontal and adjust the column width.
          

Unsampled Landings strata,Allocated sampled strata,Marker
DE_27.6.a_OTM_SPF_32-69_0_0_all_1_L,DK_27.6.a_OTM_SPF_32-69_0_0_all_1_L,X
DE_27.6.a_OTM_SPF_32-69_0_0_all_1_L,FO_27.6.a_All_1_L,X
DE_27.6.a_OTM_SPF_32-69_0_0_all_1_L,IE_27.6.a_TrawlPlus_1_L,X
DE_27.7.b_OTM_SPF_32-69_0_0_all_1_L,DK_27.7.b_OTM_SPF_32-69_0_0_all_1_L,X
DE_27.7.b_OTM_SPF_32-69_0_0_all_1_L,IE_27.7.b_TrawlPlus_1_L,X
DE_27.7.c.2_OTM_SPF_32-69_0_0_all_1_L,DK_27.7.c.2_OTM_SPF_32-69_0_0_all_1_L,X
DE_27.7.c.2_OTM_SPF_32-69_0_0_all_1_L,IE_27.7.c.2_TrawlPlus_1_L,X
DE_27.7.h_OTM_SPF_32-69_0_0_all_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DE_27.7.h_OTM_SPF_32-69_0_0_all_1_L,FO_27.7.k_All_1_L,X
DE_27.7.h_OTM_SPF_32-69_0_0_all_1_L,NO_27.7.k_TrawlPlus_1_L,X
DE_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DE_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,FO_27.7.k_All_1_L,X
DE_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,NO_27.7.k_TrawlPlus_1_L,X
DK_27.2.a.1_OTM_SPF_32-69_0_0_all_1_L,FO_27.2.a_All_1_L,X
DK_27.3.a.20_MIS_MIS_0_0_0_IBC_2_L,FO_27.2.a_All_2_L,X
DK_27.3.a.20_MIS_MIS_0_0_0_IBC_2_L,NO_27.2.a_TrawlPlus_2_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_1_L,FO_27.2.a_All_1_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_2_L,FO_27.2.a_All_2_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_2_L,FO_27.5.b_All_2_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_2_L,NO_27.2.a_TrawlPlus_2_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_2_L,NO_27.5.b_TrawlPlus_2_L,X
DK_27.4.b_MIS_MIS_0_0_0_IBC_2_L,NO_27.2.a_TrawlPlus_2_L,X
DK_27.4.b_OTM_SPF_32-69_0_0_all_1_L,FO_27.2.a_All_1_L,X
DK_27.7.j_OTM_SPF_32-69_0_0_all_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.j_OTM_SPF_32-69_0_0_all_1_L,FO_27.7.k_All_1_L,X
DK_27.7.j_OTM_SPF_32-69_0_0_all_1_L,NO_27.7.k_TrawlPlus_1_L,X
DK_27.7.j.2_MIS_MIS_0_0_0_IBC_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.j.2_MIS_MIS_0_0_0_IBC_1_L,FO_27.7.k_All_1_L,X
DK_27.7.j.2_MIS_MIS_0_0_0_IBC_1_L,NO_27.7.k_TrawlPlus_1_L,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,FO_27.7.k_All_1_L,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,NO_27.7.k_TrawlPlus_1_L,X
DK_27.8.a_MIS_MIS_0_0_0_HC_1_L,PT_27.9.a_All_1_L,X
FO_27.4.a_All_1_L,FO_27.2.a_All_1_L,X
FO_27.4.a_All_1_L,FO_27.5.b_All_1_L,X
FO_27.4.a_All_2_L,FO_27.2.a_All_2_L,X
FO_27.4.a_All_2_L,FO_27.5.b_All_2_L,X
FO_27.4.a_All_2_L,NO_27.2.a_TrawlPlus_2_L,X
FO_27.4.a_All_2_L,NO_27.5.b_TrawlPlus_2_L,X
FO_27.6.a_All_2_L,DK_27.6.a_OTM_SPF_32-69_0_0_all_2_L,X
FO_27.6.a_All_2_L,IE_27.6.a_TrawlPlus_2_L,X
IE_27.6.b.2_TrawlPlus_1_L,FO_27.6.b_All_1_L,X
IE_27.6.b.2_TrawlPlus_1_L,NO_27.6.b_TrawlPlus_1_L,X
IE_27.7.j.2_TrawlPlus_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
IE_27.7.j.2_TrawlPlus_1_L,FO_27.7.k_All_1_L,X
IE_27.7.j.2_TrawlPlus_1_L,NO_27.7.k_TrawlPlus_1_L,X
IE_27.7.k.2_TrawlPlus_1_L,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
IS_27.14.b_Pelagic trawl_1_L,FO_27.5.b_All_1_L,X
IS_27.14.b_Pelagic trawl_2_L,FO_27.5.b_All_2_L,X
IS_27.14.b_Pelagic trawl_2_L,NO_27.5.b_TrawlPlus_2_L,X
IS_27.2.a_Pelagic trawl_1_L,FO_27.2.a_All_1_L,X
IS_27.2.a_Pelagic trawl_2_L,FO_27.2.a_All_2_L,X
IS_27.2.a_Pelagic trawl_2_L,NO_27.2.a_TrawlPlus_2_L,X
IS_27.4.a_Pelagic trawl_1_L,FO_27.2.a_All_1_L,X
IS_27.4.a_Pelagic trawl_1_L,FO_27.5.b_All_1_L,X
IS_27.4.a_Pelagic trawl_2_L,FO_27.2.a_All_2_L,X
