"area","Belgium","Denmark","Faroe Islands","France","Germany","Netherlands","Norway","Sweden","UK"
"27.3.a",0,0,0,0,0,0,0,0,0
"27.4.a",0,9,109,2,1,0,2091,0,0
"27.4.b",2,36,0,2,0,4,0,0,8
"27.4.c",17,3,0,147,0,271,0,0,617
"27.7.d",19,142,0,795,2,4527,0,0,3780
