Year;discardRate
1992;0.026590441
1993;0.068296982
1994;0.111920412
1995;0.001790403
1996;0.011250862
1997;0.000511771
1998;0.002721311
2000;8.20E-05
2005;0.002011534
2006;0.002278034
2007;0.003381716
2009;0.02257533
2010;0.000100501
2014;0.000558791
2015;0.166964922
2016;0.09953827
2017;0.083191146
2018;0.017913468
2019;0.015684605
2020;0.015957433
