"","Selectivity","Source","Age"
"0",0.00133911133482032,"WGNSSK 2022",0
"1",0.0156990174125358,"WGNSSK 2022",1
"2",0.0814362044477644,"WGNSSK 2022",2
"3",0.154803947133146,"WGNSSK 2022",3
"4",0.185554536660747,"WGNSSK 2022",4
"5",0.187062025145429,"WGNSSK 2022",5
"6",0.124959269653662,"WGNSSK 2022",6
"7",0.124572944105948,"WGNSSK 2022",7
"8",0.124572944105948,"WGNSSK 2022",8
"11",0.001,"WGNSSK 2023",0
"21",0.013,"WGNSSK 2023",1
"31",0.071,"WGNSSK 2023",2
"41",0.152,"WGNSSK 2023",3
"51",0.185,"WGNSSK 2023",4
"61",0.192,"WGNSSK 2023",5
"71",0.127,"WGNSSK 2023",6
"81",0.129,"WGNSSK 2023",7
"9",0.129,"WGNSSK 2023",8
