Stock;Country;Year;CatchCategory;ReportingCategory;CATONRaisedOrImported;MisreportedArea;Area;Season;SeasonType;Fleet;CATON;Effort;UnitEffort;OfficialLandings;SampledOrEstimated;SampledCatch;No. of Length Samples;No. of Length Measured;No. of Age Samples;No. Age Readings
hom.27.3a4bc7d;Denmark;2020;BMS landing;Reported;Imported_Data; ;27.4.c;1;Quarter;MIS_MIS_0_0_0_IBC;0;-9;dop;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.4.c;1;Quarter;MIS_MIS_0_0_0_IBC;0;-9;dop;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;BMS landing;Reported;Imported_Data; ;27.7.d;1;Quarter;OTM_SPF_32-69_0_0_all;0;-9;dop;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Denmark;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.7.d;1;Quarter;OTM_SPF_32-69_0_0_all;0;-9;dop;0;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;Faroe Islands;2020;Landings;Reported;Imported_Data; ;27.4.a.nshm;1;Quarter;All;109000;-9;NA;109000;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.4.a.nshm;1;Quarter;OTM_SPF_32-69_0_0_all;1943.62;46500;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.4.b;1;Quarter;OTB_DEF_70-99_0_0;11.9;2681;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.4.c;1;Quarter;OTB_DEF_70-99_0_0;1736.23;113263;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.4.c;1;Quarter;OTB_DEF_70-99_0_0;0;113263;kWd;250;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.4.c;1;Quarter;SSC_DEF_70-99_0_0_all;85.89;7584;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;MIS_MIS_0_0_0;839.62;2537956;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;OTB_DEF_100-119_0_0;0;4968;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Landings;Reported;Imported_Data; ;27.7.d;1;Quarter;OTB_DEF_70-99_0_0;29424.76;700078;kWd;;Estimated_Distribution;0;0;0;0;0
hom.27.3a4bc7d;France;2020;Logbook Registered Discard;Reported;Imported_Data; ;27.7.d;1;Quarter;OTB_DEF_70-99_0_0;0;700078;kWd;8360;Estimated_Distribution;0;0;0;0;0
